"('0.', '', '')"
"('15-host.', '', '-host')"
"('A.', '', '')"
"('ACE.', '', '')"
"('AbsoluteUri.', '', '')"
"('AbstractMap.', '', '')"
"('AddressFamily.', '', '')"
"('AndXServerMessageBlock.', '', '')"
"('App.', '', '')"
"('Arrays.', '', '')"
"('Assemblies.', '', '')"
"('AssemblyInfo.', '', '')"
"('Base64.', '', '')"
"('BitConverter.', '', '')"
"('BufferCache.', '', '')"
"('BufferedReader.', '', '')"
"('BufferedWriter.', '', '')"
"('Build.', '', '')"
"('Byte.', '', '')"
"('CPU.', '', '')"
"('CSharp.', '', '')"
"('CharBuffer.', '', '')"
"('CharSequence.', '', '')"
"('ClassDesigner.', '', '')"
"('Collections.', '', '')"
"('ComInteropWrapper.', '', '')"
"('Common.', '', '')"
"('ConcurrentHashMap.', '', '')"
"('Config.', '', '')"
"('Console.', '', '')"
"('Convert.', '', '')"
"('Core.', '', '')"
"('D.', '', '')"
"('DES.', '', '')"
"('Data.', '', '')"
"('DataSetExtensions.', '', '')"
"('DateFormat.', '', '')"
"('Dcerpc.', '', '')"
"('DcerpcBind.', '', '')"
"('DcerpcBinding.', '', '')"
"('DcerpcConstants.', '', '')"
"('DcerpcError.', '', '')"
"('DcerpcException.', '', '')"
"('DcerpcHandle.', '', '')"
"('DcerpcMessage.', '', '')"
"('DcerpcPipeHandle.', '', '')"
"('DesignTimeResolveAssemblyReferences.', '', '')"
"('Dfs.', '', '')"
"('DfsReferral.', '', '')"
"('Diagnostics.', '', '')"
"('Dns.', '', '')"
"('DosError.', '', '')"
"('DosFileFilter.', '', '')"
"('Encdec.', '', '')"
"('EnterpriseTools.', '', '')"
"('Enumerable.', '', '')"
"('EnumeratorWrapper.', '', '')"
"('Exceptions.', '', '')"
"('Extensions.', '', '')"
"('File.', '', '')"
"('FileInputStream.', '', '')"
"('FileOutputStream.', '', '')"
"('FilePath.', '', '')"
"('FileReader.', '', '')"
"('FileWriter.', '', '')"
"('FilterInputStream.', '', '')"
"('FilterOutputStream.', '', '')"
"('FinalPublicKey.', '', '')"
"('Generic.', '', '')"
"('HMACT64.', '', '')"
"('Hashtable.', '', '')"
"('Headers.', '', '')"
"('Hexdump.', '', '')"
"('HttpClient.', '', '')"
"('HttpContext.', '', '')"
"('HttpCookie.', '', '')"
"('HttpCookieCollection.', '', '')"
"('HttpExceptionEventHandler.', '', '')"
"('HttpFileCollection.', '', '')"
"('HttpMethod.', '', '')"
"('HttpMultiPartItem.', '', '')"
"('HttpMultiPartRequestParser.', '', '')"
"('HttpOutputStream.', '', '')"
"('HttpPostedFile.', '', '')"
"('HttpReadBuffer.', '', '')"
"('HttpRequest.', '', '')"
"('HttpRequestEventHandler.', '', '')"
"('HttpRequestParser.', '', '')"
"('HttpResponse.', '', '')"
"('HttpServer.', '', '')"
"('HttpServerUtility.', '', '')"
"('HttpUnknownRequestParser.', '', '')"
"('HttpUrlEncodedRequestParser.', '', '')"
"('HttpUtil.', '', '')"
"('IDisposable.', '', '')"
"('IEnumerable.', '', '')"
"('IEnumerator.', '', '')"
"('IPAddress.', '', '')"
"('ITerator.', '', '')"
"('InputStream.', '', '')"
"('InputStreamReader.', '', '')"
"('Int32.', '', '')"
"('InternalServerError.', '', '')"
"('Iterator.', '', '')"
"('LinkageError.', '', '')"
"('Linq.', '', '')"
"('Lmhosts.', '', '')"
"('LogManager.', '', '')"
"('LogStream.', '', '')"
"('LsaPolicyHandle.', '', '')"
"('LsarSidArrayX.', '', '')"
"('Lsarpc.', '', '')"
"('MD4.', '', '')"
"('MD5.', '', '')"
"('MD5Managed.', '', '')"
"('Matcher.', '', '')"
"('MessageDigest.', '', '')"
"('Microsoft.', '', '')"
"('MpCmdRun.', '', '')"
"('Msrpc.', '', '')"
"('MsrpcDfsRootEnum.', '', '')"
"('MsrpcEnumerateAliasesInDomain.', '', '')"
"('MsrpcGetMembersInAlias.', '', '')"
"('MsrpcLookupSids.', '', '')"
"('MsrpcLsarOpenPolicy2.', '', '')"
"('MsrpcQueryInformationPolicy.', '', '')"
"('MsrpcSamrConnect2.', '', '')"
"('MsrpcSamrConnect4.', '', '')"
"('MsrpcSamrOpenAlias.', '', '')"
"('MsrpcSamrOpenDomain.', '', '')"
"('MsrpcShareEnum.', '', '')"
"('MsrpcShareGetInfo.', '', '')"
"('MyApplication.', '', '')"
"('NBNSSpoofer.', '', '')"
"('NHttp.', '', '')"
"('NHttpException.', '', '')"
"('NSystem.', '', '')"
"('Name.', '', '')"
"('NameQueryRequest.', '', '')"
"('NameQueryResponse.', '', '')"
"('NameServiceClient.', '', '')"
"('NameServicePacket.', '', '')"
"('NbtAddress.', '', '')"
"('NbtException.', '', '')"
"('Ndr.', '', '')"
"('NdrBuffer.', '', '')"
"('NdrException.', '', '')"
"('NdrHyper.', '', '')"
"('NdrLong.', '', '')"
"('NdrShort.', '', '')"
"('NdrSmall.', '', '')"
"('Net.', '', '')"
"('NetServerEnum2.', '', '')"
"('NetServerEnum2Response.', '', '')"
"('NetShareEnum.', '', '')"
"('NetShareEnumResponse.', '', '')"
"('Netbios.', '', '')"
"('Netdfs.', '', '')"
"('NetworkStream.', '', '')"
"('NodeStatusRequest.', '', '')"
"('NodeStatusResponse.', '', '')"
"('Now.', '', '')"
"('NtStatus.', '', '')"
"('NtTransQuerySecurityDesc.', '', '')"
"('NtTransQuerySecurityDescResponse.', '', '')"
"('NtlmAuthenticator.', '', '')"
"('NtlmChallenge.', '', '')"
"('NtlmContext.', '', '')"
"('NtlmMessage.', '', '')"
"('NtlmPasswordAuthentication.', '', '')"
"('Ntlmssp.', '', '')"
"('NuGetVSExtension.', '', '')"
"('ObjectInputStream.', '', '')"
"('ObjectOutputStream.', '', '')"
"('OutputStream.', '', '')"
"('OutputStreamWriter.', '', '')"
"('PNuGet.', '', '')"
"('PackageManagement.', '', '')"
"('PipedInputStream.', '', '')"
"('PipedOutputStream.', '', '')"
"('Potato.', '', '')"
"('Principal.', '', '')"
"('PrintWriter.', '', '')"
"('ProcessWindowStyle.', '', '')"
"('Program.', '', '')"
"('Properties.', '', '')"
"('ProtocolException.', '', '')"
"('ProtocolType.', '', '')"
"('QueuedNtlmContext.', '', '')"
"('RC4.', '', '')"
"('RandomAccessFile.', '', '')"
"('Reactive.', '', '')"
"('ReentrantLock.', '', '')"
"('Reflection.', '', '')"
"('Response.', '', '')"
"('Rpc.', '', '')"
"('Runtime.', '', '')"
"('SID.', '', '')"
"('Samr.', '', '')"
"('SamrAliasHandle.', '', '')"
"('SamrDomainHandle.', '', '')"
"('SamrPolicyHandle.', '', '')"
"('Security.', '', '')"
"('SecurityDescriptor.', '', '')"
"('ServerMessageBlock.', '', '')"
"('SessionRequestPacket.', '', '')"
"('SessionRetargetResponsePacket.', '', '')"
"('SessionServicePacket.', '', '')"
"('Shared.', '', '')"
"('SharpCifs.', '', '')"
"('Sharpen.', '', '')"
"('SigningDigest.', '', '')"
"('SimpleDateFormat.', '', '')"
"('Smb.', '', '')"
"('SmbAuthException.', '', '')"
"('SmbComBlankResponse.', '', '')"
"('SmbComClose.', '', '')"
"('SmbComCreateDirectory.', '', '')"
"('SmbComDelete.', '', '')"
"('SmbComDeleteDirectory.', '', '')"
"('SmbComFindClose2.', '', '')"
"('SmbComLogoffAndX.', '', '')"
"('SmbComNTCreateAndX.', '', '')"
"('SmbComNTCreateAndXResponse.', '', '')"
"('SmbComNegotiate.', '', '')"
"('SmbComNegotiateResponse.', '', '')"
"('SmbComNtTransaction.', '', '')"
"('SmbComNtTransactionResponse.', '', '')"
"('SmbComOpenAndX.', '', '')"
"('SmbComOpenAndXResponse.', '', '')"
"('SmbComQueryInformation.', '', '')"
"('SmbComQueryInformationResponse.', '', '')"
"('SmbComReadAndX.', '', '')"
"('SmbComReadAndXResponse.', '', '')"
"('SmbComRename.', '', '')"
"('SmbComSessionSetupAndX.', '', '')"
