"('', '', '', '', '', '', '        \n            return $retval', '', 'return', 'retval', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n            $headers', '', '0', 'headers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n            $method', '', '0', 'method', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1                            \n                        $response', '', '1', 'response', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 127.0.0.1\n    $port', '', '127.0.0.1', 'port', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 64                    \n            $Domain_len', '', '64', 'Domain_len', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' NTLMv1\n            $HostName_len', '', 'NTLMv1', 'HostName_len', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' NTLMv2\n            $NTHash_len', '', 'NTLMv2', 'NTHash_len', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Random   \n    $takenPorts', '', 'System.Random', 'takenPorts', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' background\n    $job', '', 'background', 'job', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $takenPorts', '', 'in', 'takenPorts', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' port\n    $random', '', 'port', 'random', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' request                                                                                  \n                        $requestFinished', '', 'request', 'requestFinished', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param ($port)', '$port', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param\n        (\n            [byte[]]$NTLM\n        )', '[byte[]]$NTLM\n        ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param\n        (\n            [string]$method, [string]$uri, [string]$httpversion, [hashtable]$headers, [string]$body\n        )', '[string]$method, [string]$uri, [string]$httpversion, [hashtable]$headers, [string]$body\n        ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param\n        (\n           [int]$port\n        )', '[int]$port\n        ', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ArgumentList $port', '', 'ArgumentList', 'port', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Job $job', '', 'Job', 'job', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ScriptBlock $NetNTLM_ScriptBlock', '', 'ScriptBlock', 'NetNTLM_ScriptBlock', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[16..$NTLM', '', '16..', 'NTLM', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[2]\n                    $state', '', '2', 'state', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n                    [string]$NTLMHash', '', 'string', 'NTLMHash', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n                    [string]$httpver', '', 'string', 'httpver', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n                    [string]$method', '', 'string', 'method', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n                    [string]$uri', '', 'string', 'uri', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            [System.IO.StreamReader]$reader', '', 'System.IO.StreamReader', 'reader', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            [System.IO.StreamWriter]$writer', '', 'System.IO.StreamWriter', 'writer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            return $retval', '', 'return', 'retval', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'argumentList $stream', '', 'argumentList', 'stream', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'body $body', '', 'body', 'body', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $takenPort', '', 'eq', 'takenPort', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'headers $headers', '', 'headers', 'headers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'httpversion $httpver', '', 'httpversion', 'httpver', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'method $method', '', 'method', 'method', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'port $port', '', 'port', 'port', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'uri $uri', '', 'uri', 'uri', '', '', '', '', '', '', '', '')"
