"('0.', '', '-1')"
"('27microsoft.', '', '')"
"('AccessAsUser.', '', '')"
"('AccessMedia.', '', '')"
"('AgreementAcceptance.', '', '')"
"('Analytics.', '', '')"
"('AppCatalog.', '', '')"
"('Calendars.', '', '')"
"('CallEvents.', '', '')"
"('Channel.', '', '')"
"('ChannelMessage.', '', '')"
"('Chat.', '', '')"
"('ChatMember.', '', '')"
"('ChatMessage.', '', '')"
"('ConsentRequest.', '', '')"
"('Contacts.', '', '')"
"('CrossTenantUserProfileSharing.', '', '')"
"('Delete.', '', '')"
"('Device.', '', '')"
"('ET.', '', '')"
"('EduAdministration.', '', '')"
"('EduAssignments.', '', '')"
"('EduCurricula.', '', '')"
"('EduRoster.', '', '')"
"('EnableDisableAccount.', '', '')"
"('Encoding.', '', '')"
"('EntitlementMgmt-SubjectAccess.', '', '-SubjectAccess')"
"('Export.', '', '')"
"('Family.', '', '')"
"('FileStorageContainer.', '', '')"
"('Files.', '', '')"
"('FullControl.', '', '')"
"('GetUserRealm.', '', '')"
"('Graphpython.', '', '')"
"('Group.', '', '')"
"('IndustryData-DataConnector.', '', '-DataConnector')"
"('InformationProtectionConfig.', '', '')"
"('InformationProtectionPolicy.', '', '')"
"('Initiate.', '', '')"
"('InitiateGroupCall.', '', '')"
"('IntuneMessageBox.', '', '')"
"('IntuneWinAppUtil.', '', '')"
"('Invite.', '', '')"
"('JoinGroupCall.', '', '')"
"('JoinGroupCallAsGuest.', '', '')"
"('LearningAssignedCourse.', '', '')"
"('LearningProvider.', '', '')"
"('LearningSelfInitiatedCourse.', '', '')"
"('Mail.', '', '')"
"('MailboxSettings.', '', '')"
"('Manage.', '', '')"
"('ManageDeletion.', '', '')"
"('ManageIdentities.', '', '')"
"('Migrate.', '', '')"
"('Notes.', '', '')"
"('Office.', '', '')"
"('OnlineMeetings.', '', '')"
"('People.', '', '')"
"('Presence.', '', '')"
"('PrintJob.', '', '')"
"('Printer.', '', '')"
"('PrivateFormat.', '', '')"
"('PrivilegedOperations.', '', '')"
"('README.', '', '')"
"('RST2.', '', '')"
"('Read.', '', '')"
"('Read.', '', '-AppsAndServices')"
"('Read.', '', '-CRM')"
"('Read.', '', '-Configuration')"
"('Read.', '', '-DataConnector')"
"('Read.', '', '-Discovery')"
"('Read.', '', '-DynamicsVoice')"
"('Read.', '', '-Endpoint')"
"('Read.', '', '-Entra')"
"('Read.', '', '-Exchange')"
