"('', 'Graphpython.__main__', 'main', '')"
"('', 'Graphpython.commands', 'outsider', '')"
"('', 'Graphpython.utils.helpers', 'get_tenant_domains', '')"
"('', 'Graphpython.utils.helpers', 'graph_api_get', '')"
"('', 'Graphpython.utils.helpers', 'list_commands', '')"
"('', 'Graphpython.utils.helpers', 'print_yellow', '')"
"('', 'Graphpython.utils.helpers', 'read_file_content', '')"
"('', 'bs4', 'BeautifulSoup', '')"
"('', 'cryptography', 'x509', '')"
"('', 'cryptography.hazmat.backends', 'default_backend', '')"
"('', 'cryptography.hazmat.primitives', 'hashes', '')"
"('', 'cryptography.hazmat.primitives.serialization', 'pkcs12', '')"
"('', 'datetime', 'datetime', '')"
"('', 'setuptools', 'setup', '')"
"('', 'tabulate', 'tabulate', '')"
"('', 'termcolor', 'colored', '')"
"('', 'tqdm', 'tqdm', '')"
"('', 'urllib.parse', 'urlencode', '')"
"('argparse', '', '', '')"
"('base64', '', '', '')"
"('dns.resolver', '', '', '')"
"('hashlib', '', '', '')"
"('json', '', '', '')"
"('jwt', '', '', '')"
"('os', '', '', '')"
"('re', '', '', '')"
"('requests', '', '', '')"
"('sys', '', '', '')"
"('textwrap', '', '', '')"
"('time', '', '', '')"
"('uuid', '', '', '')"
"('xml.etree.ElementTree', '', '', '')"
