"('""', '--browser', '', '', '', '', '', '', '', '', '')"
"('""', '--cert', '', '', '', '', '', '', '', '', '')"
"('""', '--command', '', '', '', '', '', '', '', '', '')"
"('""', '--device', '', '', '', '', '', '', '', '', '')"
"('""', '--domain', '', '', '', '', '', '', '', '', '')"
"('""', '--email', '', '', '', '', '', '', '', '', '')"
"('""', '--entity', '', '', '', '', '', '', '', '', '')"
"('""', '--estsauthcookie', '', '', '', '', '', '', '', '', '')"
"('""', '--id', '', '', '', '', '', '', '', '', '')"
"('""', '--list-commands', '', '', '', '', '', '', '', '', '')"
"('""', '--mail-folder', '', '', '', '', '', '', '', '', '')"
"('""', '--only-return-cookies', '', '', '', '', '', '', '', '', '')"
"('""', '--query', '', '', '', '', '', '', '', '', '')"
"('""', '--script', '', '', '', '', '', '', '', '', '')"
"('""', '--search', '', '', '', '', '', '', '', '', '')"
"('""', '--secret', '', '', '', '', '', '', '', '', '')"
"('""', '--select', '', '', '', '', '', '', '', '', '')"
"('""', '--tenant', '', '', '', '', '', '', '', '', '')"
"('""', '--token', '', '', '', '', '', '', '', '', '')"
"('""', '--top', '', '', '', '', '', '', '', '', '')"
"('""', '--use-cae', '', '', '', '', '', '', '', '', '')"
"('""', '--username', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', ' args.command.replace(""-"", ""_"")', ')', '')"
"('', '', '', '', '', '', '', '', '', '', ""id}')/definitionValues?$expand"")"
"('', '', '', '', '', '', '', '', '', '', ""id}')/settings?expand"")"
"('', '', '', '', '', '', '', '', '', '', 'device, browser')"
"('', '', '', '', '', '', '', '', '', '', 'domain}/.well-known/openid-configuration"", headers')"
"('', '', '', '', '', '', '', '', '', '', 'id}?$expand')"
"('', '', '', '', '', '', '', '', '', '', 'id}?$select')"
"('', '', '', '', '', '', '', '', '', '', 'id}\')/settings"" #?$expand')"
"('', '', '', '', '', '', '', '', '', '', 'tenant}/oauth2/token?api-version')"
"('', '', '', '', '', '', '', '', '', '', 'token), options')"
"('', '', '', '', 'if', 'browser', '', '', '', '', '')"
"('', '', '', '', 'if', 'command and args.command.lower() not in available_commands', '', '', '', '', '')"
"('', '', '', '', 'if', 'command in [""invoke-reconasoutsider"", ""invoke-userenumerationasoutsider""]', '', '', '', '', '')"
"('', '', '', '', 'if', 'command in [""locate-objectid"", ""locate-permissionid"", ""locate-directoryrole""]', '', '', '', '', '')"
"('', '', '', '', 'if', 'device', '', '', '', '', '')"
"('', '', '', '', 'if', 'id', '', '', '', '', '')"
"('', '', '', '', 'if', 'list_commands', '', '', '', '', '')"
"('', '', '', '', 'if', 'only_return_cookies', '', '', '', '', '')"
"('', '', '', '', 'if', 'select', '', '', '', '', '')"
"('', '', '', '', 'if', 'top', '', '', '', '', '')"
"('', '', '', '', 'if', 'use_cae', '', '', '', '', '')"
"('', '', '', '', 'not', 'domain', '', '', '', '', '')"
"('', '', '', '', 'not', 'email', '', '', '', '', '')"
"('', '', '', '', 'not', 'id or not args.cert', '', '', '', '', '')"
"('', '', '', '', 'not', 'id or not args.script', '', '', '', '', '')"
"('', '', '', '', 'not', 'id', '', '', '', '', '')"
"('', '', '', '', 'not', 'mail_folder', '', '', '', '', '')"
"('', '', '', '', 'not', 'query', '', '', '', '', '')"
"('', '', '', '', 'not', 'script', '', '', '', '', '')"
"('', '', '', '', 'not', 'search or not args.entity', '', '', '', '', '')"
"('', '', '', '', 'not', 'tenant or not args.cert or not args.id', '', '', '', '', '')"
"('', '', '', '', 'not', 'tenant or not args.estsauthcookie', '', '', '', '', '')"
"('', '', '', '', 'not', 'tenant or not args.id or not args.secret', '', '', '', '', '')"
"('', '', '', '', 'not', 'tenant or not args.id', '', '', '', '', '')"
"('', '', '', '', 'not', 'tenant', '', '', '', '', '')"
"('', '', '', '', 'not', 'token', '', '', '', '', '')"
"('', '', '', '', 'not', 'username', '', '', '', '', '')"
