"('http://', 'ht', '', '/exchange/2010/Autodiscover', '/', 'exchange/2010/Autodiscover')"
"('http://', 'ht', '', '/exchange/2010/Autodiscover/Autodiscover/GetFederationInformation', '/', 'exchange/2010/Autodiscover/Autodiscover/GetFederationInformation')"
"('http://', 'ht', '', '/exchange/services/2006/messages', '/', 'exchange/services/2006/messages')"
"('http://', 'ht', '', '/exchange/services/2006/types', '/', 'exchange/services/2006/types')"
"('http://', 'ht', '', '/soap/envelope', '/', 'soap/envelope')"
"('http://', 'ht', '', '/ws/2004/09/policy', '/', 'ws/2004/09/policy')"
"('http://', 'ht', '', '/ws/2005/02/sc', '/', 'ws/2005/02/sc')"
"('http://', 'ht', '', '/ws/2005/02/trust', '/', 'ws/2005/02/trust')"
"('http://', 'ht', '', '/ws/2005/02/trust/Issue', '/', 'ws/2005/02/trust/Issue')"
"('http://', 'ht', '', '/ws/2005/02/trust/RST/Issue', '/', 'ws/2005/02/trust/RST/Issue')"
"('http://', 'ht', '', '/ws/2005/05/identity', '/', 'ws/2005/05/identity')"
"('http://', 'ht', '', '/ws/2005/05/identity/NoProofKey', '/', 'ws/2005/05/identity/NoProofKey')"
"('http://', 'ht', '', '/wss/2004/01/oasis-200401-wss-wssecurity-secext-1.0.xsd', '/', 'wss/2004/01/oasis-200401-wss-wssecurity-secext-1.0.xsd')"
"('http://', 'ht', '', '/wss/2004/01/oasis-200401-wss-wssecurity-utility-1.0.xsd', '/', 'wss/2004/01/oasis-200401-wss-wssecurity-utility-1.0.xsd')"
"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '/.default', '/', '.default')"
"('https://', 'ht', 's', '//beta/deviceManagement/groupPolicyConfigurations', '/', '/beta/deviceManagement/groupPolicyConfigurations')"
"('https://', 'ht', 's', '//beta/identity/conditionalAccess/policies', '/', '/beta/identity/conditionalAccess/policies')"
"('https://', 'ht', 's', '/?tenantid', '/', '?tenantid')"
"('https://', 'ht', 's', '/Common/oauth2/token?api-version=1.0', '/', 'Common/oauth2/token?api-version=1.0')"
"('https://', 'ht', 's', '/Gerenios/AADInternals', '/', 'Gerenios/AADInternals')"
"('https://', 'ht', 's', '/GetUserRealm.srf?login', '/', 'GetUserRealm.srf?login')"
"('https://', 'ht', 's', '/RST2.srf', '/', 'RST2.srf')"
"('https://', 'ht', 's', '/autodiscover/autodiscover.svc', '/', 'autodiscover/autodiscover.svc')"
"('https://', 'ht', 's', '/beta/deviceAppManagement/mobileApps', '/', 'beta/deviceAppManagement/mobileApps')"
"('https://', 'ht', 's', '/beta/deviceManagement/configurationPolicies', '/', 'beta/deviceManagement/configurationPolicies')"
"('https://', 'ht', 's', '/beta/deviceManagement/deviceManagementScripts', '/', 'beta/deviceManagement/deviceManagementScripts')"
"('https://', 'ht', 's', '/beta/deviceManagement/groupPolicyConfigurations', '/', 'beta/deviceManagement/groupPolicyConfigurations')"
"('https://', 'ht', 's', '/beta/deviceManagement/managedDevices', '/', 'beta/deviceManagement/managedDevices')"
"('https://', 'ht', 's', '/beta/directory/consentToApp', '/', 'beta/directory/consentToApp')"
"('https://', 'ht', 's', '/beta/myorganization/applications', '/', 'beta/myorganization/applications')"
"('https://', 'ht', 's', '/beta/roleManagement/directory/estimateAccess', '/', 'beta/roleManagement/directory/estimateAccess')"
"('https://', 'ht', 's', '/common/GetCredentialType', '/', 'common/GetCredentialType')"
"('https://', 'ht', 's', '/common/oauth2/authorize', '/', 'common/oauth2/authorize')"
"('https://', 'ht', 's', '/common/oauth2/devicecode?api-version=1.0', '/', 'common/oauth2/devicecode?api-version=1.0')"
"('https://', 'ht', 's', '/common/oauth2/nativeclient', '/', 'common/oauth2/nativeclient')"
"('https://', 'ht', 's', '/common/oauth2/token', '/', 'common/oauth2/token')"
"('https://', 'ht', 's', '/common/oauth2/v2.0/token', '/', 'common/oauth2/v2.0/token')"
"('https://', 'ht', 's', '/dafthack/GraphRunner', '/', 'dafthack/GraphRunner')"
"('https://', 'ht', 's', '/en-us/entra/identity/role-based-access-control/permissions-reference', '/', 'en-us/entra/identity/role-based-access-control/permissions-reference')"
"('https://', 'ht', 's', '/en-us/graph/api/intune-devices-manageddevice-update', '/', 'en-us/graph/api/intune-devices-manageddevice-update')"
"('https://', 'ht', 's', '/en-us/graph/api/resources/intune-app-conceptual?view=graph-rest-1.0', '/', 'en-us/graph/api/resources/intune-app-conceptual?view=graph-rest-1.0')"
