"('AssemblyAttributes.', '', '')"
"('AssemblyInfo.', '', '')"
"('CSharp.', '', '')"
"('CharSet.', '', '')"
"('ComInteropWrapper.', '', '')"
"('Console.', '', '')"
"('Core.', '', '')"
"('CoreCompileInputs.', '', '')"
"('CredPhisher.', '', '')"
"('DesignTimeResolveAssemblyReferences.', '', '')"
"('Generic.', '', '')"
"('IntPtr.', '', '')"
"('LayoutKind.', '', '')"
"('Marshal.', '', '')"
"('MyApplication.', '', '')"
"('Program.', '', '')"
"('Runtime.', '', '')"
"('Security.', '', '')"
"('SuggestedBindingRedirects.', '', '')"
"('System.', '', '')"
"('USystem.', '', '')"
"('Versioning.', '', '')"
"('VisualStudio.', '', '')"
"('WindowsIdentity.', '', '')"
"('app.', '', '')"
"('args.', '', '')"
"('assemblyattributes.', '', '')"
"('assemblyinfo.', '', '')"
"('credui.', '', '')"
"('domainBuf.', '', '')"
"('exe.', '', '')"
"('microsoft.', '', '')"
"('mscoree.', '', '')"
"('mscorlib.', '', '')"
"('networkCredential.', '', '')"
"('ole32.', '', '')"
"('passwordBuf.', '', '')"
"('program.', '', '')"
"('usernameBuf.', '', '')"
