"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '/?WT.mc_id=SEC-MVP-5005282', '/', '?WT.mc_id=SEC-MVP-5005282')"
"('https://', 'ht', 's', '/DarkCoderSc', '/', 'DarkCoderSc')"
"('https://', 'ht', 's', '/category/network-evasion', '/', 'category/network-evasion')"
"('https://', 'ht', 's', '/en-us/dotnet/api/system.security.cryptography.aesgcm.decrypt?view=net-7.0?WT_mc_id=SEC-MVP-5005282', '/', 'en-us/dotnet/api/system.security.cryptography.aesgcm.decrypt?view=net-7.0?WT_mc_id=SEC-MVP-5005282')"
"('https://', 'ht', 's', '/en-us/dotnet/api/system.security.cryptography.aesgcm.encrypt?view=net-7.0', '/', 'en-us/dotnet/api/system.security.cryptography.aesgcm.encrypt?view=net-7.0')"
"('https://', 'ht', 's', '/en-us/dotnet/api/system.security.cryptography.aesgcm?view=net-7.0?WT_mc_id=SEC-MVP-5005282', '/', 'en-us/dotnet/api/system.security.cryptography.aesgcm?view=net-7.0?WT_mc_id=SEC-MVP-5005282')"
"('https://', 'ht', 's', '/en-us/dotnet/api/system.security.cryptography.randomnumbergenerator?view=net-7.0?WT_mc_id=SEC-MVP-5005282', '/', 'en-us/dotnet/api/system.security.cryptography.randomnumbergenerator?view=net-7.0?WT_mc_id=SEC-MVP-5005282')"
"('https://', 'ht', 's', '/github/gitignore/blob/main/VisualStudio.gitignore', '/', 'github/gitignore/blob/main/VisualStudio.gitignore')"
"('https://', 'ht', 's', '/github/gitignore/pull/1529#issuecomment-104372622', '/', 'github/gitignore/pull/1529#issuecomment-104372622')"
"('https://', 'ht', 's', '/github/gitignore/pull/2483#issue-259490424', '/', 'github/gitignore/pull/2483#issue-259490424')"
"('https://', 'ht', 's', '/man/8/pure-ftpd', '/', 'man/8/pure-ftpd')"
"('https://', 'ht', 's', '/r/stilliard/pure-ftpd', '/', 'r/stilliard/pure-ftpd')"
"('www.', 'ht', '', '/licenses', '/', 'licenses')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('www.', 'ht', 's', '', '', '')"
"('www.', 'ht', 's', '/DarkCoderSc', '/', 'DarkCoderSc')"
"('www.', 'ht', 's', '/packages/Microsoft.Extensions.CommandLineUtils?WT.mc_id=SEC-MVP-5005282', '/', 'packages/Microsoft.Extensions.CommandLineUtils?WT.mc_id=SEC-MVP-5005282')"
