"('ASP.', '', '')"
"('AutoTest.', '', '')"
"('BenchmarkDotNet.', '', '')"
"('Cpp.', '', '')"
"('Default.', '', '')"
"('DotSettings.', '', '')"
"('FodyWeavers.', '', '')"
"('GhostDoc.', '', '')"
"('HookedFunctions.', '', '')"
"('Luid.', '', '')"
"('Microsoft.', '', '')"
"('ModelManifest.', '', '')"
"('Node.', '', '')"
"('OptionalHeader.', '', '')"
"('README.', '', '')"
"('ScaffoldingReadMe.', '', '')"
"('StoreAssociation.', '', '')"
"('StyleCopReport.', '', '')"
"('TestResult.', '', '')"
"('VC.', '', '')"
"('VisualState.', '', '')"
"('VisualStudio.', '', '')"
"('ackup.', '', '')"
"('advapi32.', '', '')"
"('apache.', '', '')"
"('bim.', '', '')"
"('btm.', '', '')"
"('btp.', '', '')"
"('build.', '', '')"
"('callbackInfo.', '', '')"
"('codegen.', '', '')"
"('dbgcore.', '', '')"
"('dbghelp.', '', '')"
"('dbproj.', '', '')"
"('dumper2020.', '', '')"
"('fsf.', '', '')"
"('github.', '', '')"
"('gnu.', '', '')"
"('harmonysecurity.', '', '')"
"('hooks.', '', '')"
"('kernel32.', '', '')"
"('local.', '', '')"
"('lock.', '', '')"
"('log.', '', '')"
"('lsass.', '', '')"
"('masm.', '', '')"
"('matteomalvica.', '', '')"
"('mbi.', '', '')"
"('medium.', '', '')"
"('microsoft.', '', '')"
"('ntPath.', '', '')"
"('ntdll.', '', '')"
"('nuget.', '', '')"
"('odx.', '', '')"
"('outflank.', '', '')"
"('packages.', '', '')"
"('paket.', '', '')"
"('project.', '', '')"
"('rdl.', '', '')"
"('repositories.', '', '')"
"('rptproj.', '', '')"
"('settings.', '', '')"
"('sln.', '', '')"
"('srdi.', '', '')"
"('sysInfo.', '', '')"
"('tokenElevation.', '', '')"
"('twitter.', '', '')"
"('ublish.', '', '')"
"('user.', '', '')"
"('whisper.', '', '')"
"('why-not-lgpl.', '', '-lgpl')"
"('x64.', '', '')"
"('x86.', '', '')"
"('xsd.', '', '')"
