"('http://', 'ht', '', '', '', '')"
"('http://', 'ht', '', '/developer/msbuild/2003', '/', 'developer/msbuild/2003')"
"('https://', 'ht', 's', '/@fsx30/bypass-edrs-memory-protection-introduction-to-hooking-2efb21acffd6', '/', '@fsx30/bypass-edrs-memory-protection-introduction-to-hooking-2efb21acffd6')"
"('https://', 'ht', 's', '/Cneelis', '/', 'Cneelis')"
"('https://', 'ht', 's', '/Jackson_T', '/', 'Jackson_T')"
"('https://', 'ht', 's', '/SpecialHoang', '/', 'SpecialHoang')"
"('https://', 'ht', 's', '/b4rtik', '/', 'b4rtik')"
"('https://', 'ht', 's', '/b4rtik/ATPMiniDump', '/', 'b4rtik/ATPMiniDump')"
"('https://', 'ht', 's', '/blog/2019/06/19/red-team-tactics-combining-direct-system-calls-and-srdi-to-bypass-av-edr', '/', 'blog/2019/06/19/red-team-tactics-combining-direct-system-calls-and-srdi-to-bypass-av-edr')"
"('https://', 'ht', 's', '/en-us/previous-versions/windows/desktop/proc_snap/export-a-process-snapshot-to-a-file', '/', 'en-us/previous-versions/windows/desktop/proc_snap/export-a-process-snapshot-to-a-file')"
"('https://', 'ht', 's', '/github/gitignore/blob/master/VisualStudio.gitignore', '/', 'github/gitignore/blob/master/VisualStudio.gitignore')"
"('https://', 'ht', 's', '/github/gitignore/pull/1529#issuecomment-104372622', '/', 'github/gitignore/pull/1529#issuecomment-104372622')"
"('https://', 'ht', 's', '/github/gitignore/pull/2483#issue-259490424', '/', 'github/gitignore/pull/2483#issue-259490424')"
"('https://', 'ht', 's', '/hoangprod/AndrewSpecial', '/', 'hoangprod/AndrewSpecial')"
"('https://', 'ht', 's', '/jthuraisamy/SysWhispers', '/', 'jthuraisamy/SysWhispers')"
"('https://', 'ht', 's', '/jthuraisamy/SysWhispers/blob/master/README.md', '/', 'jthuraisamy/SysWhispers/blob/master/README.md')"
"('https://', 'ht', 's', '/jthuraisamy/TelemetrySourcerer', '/', 'jthuraisamy/TelemetrySourcerer')"
"('https://', 'ht', 's', '/matteomalvica', '/', 'matteomalvica')"
"('https://', 'ht', 's', '/monoxgas', '/', 'monoxgas')"
"('https://', 'ht', 's', '/monoxgas/sRDI', '/', 'monoxgas/sRDI')"
"('https://', 'ht', 's', '/outflanknl/Dumpert', '/', 'outflanknl/Dumpert')"
"('https://', 'ht', 's', '/slaeryan/2c73c4c4e33dfd7d8ce38312aacc9324', '/', 'slaeryan/2c73c4c4e33dfd7d8ce38312aacc9324')"
"('www.', '', '', '', '', '')"
"('www.', 'ht', '', '/licenses', '/', 'licenses')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('www.', 'ht', '', '/philosophy/why-not-lgpl.html', '/', 'philosophy/why-not-lgpl.html')"
"('www.', 'ht', 's', '/blog/2019/12/02/win-defender-atp-cred-bypass', '/', 'blog/2019/12/02/win-defender-atp-cred-bypass')"
