"('AccessToken.', '', '')"
"('AceHeader.', '', '')"
"('AddressFamily.', '', '')"
"('CharSet.', '', '')"
"('Collections.', '', '')"
"('Default.', '', '')"
"('Environment.', '', '')"
"('Generic.', '', '')"
"('IO.', '', '')"
"('IPAddress.', '', '')"
"('IntPtr.', '', '')"
"('IntegrityLevel.', '', '')"
"('Kernel32.', '', '')"
"('Label.', '', '')"
"('LayoutKind.', '', '')"
"('Marshal.', '', '')"
"('Microsoft.', '', '')"
"('Net.', '', '')"
"('Out.', '', '')"
"('PSBoundParameters.', '', '')"
"('Process.', '', '')"
"('ProtocolType.', '', '')"
"('Reflection.', '', '')"
"('RunasCs.', '', '')"
"('RunasCsMainClass.', '', '')"
"('Runtime.', '', '')"
"('Security.', '', '')"
"('SecurityBaseApi.', '', '')"
"('SocketType.', '', '')"
"('String.', '', '')"
"('System.', '', '')"
"('TestCode2.', '', '')"
"('TokenPrivileges.', '', '')"
"('UnmanagedType.', '', '')"
"('WindowsIdentity.', '', '')"
"('aclSizeInfo.', '', '')"
"('advapi32.', '', '')"
"('args.', '', '')"
"('authoritySid.', '', '')"
"('availableLogonType.', '', '')"
"('cmd.', '', '')"
"('commandline.', '', '')"
"('createProcessFunctions.', '', '')"
"('csc.', '', '')"
"('decoder.', '', '')"
"('e.', '', '')"
"('fsf.', '', '')"
"('getting-interactive-service-account.', '', '-account')"
"('github.', '', '')"
"('gnu.', '', '')"
"('integrity.', '', '')"
"('invoker.', '', '')"
"('item.', '', '')"
"('kernel32.', '', '')"
"('logonType.', '', '')"
"('logonTypes.', '', '')"
"('microsoft.', '', '')"
"('nc.', '', '')"
"('pNewAceStruct.', '', '')"
"('pTempAceStruct.', '', '')"
"('parametersRunasCs.', '', '')"
"('positionals.', '', '')"
"('powershell.', '', '')"
"('privileges.', '', '')"
"('processInfo.', '', '')"
"('profileInfo.', '', '')"
"('reading-your-way-around-uac-part-1.', '', '-1')"
"('reading-your-way-around-uac-part-2.', '', '-2')"
"('reading-your-way-around-uac-part-3.', '', '-3')"
"('referencedDomainName.', '', '')"
"('remote.', '', '')"
"('runas.', '', '')"
"('sa.', '', '')"
"('sb.', '', '')"
"('sessionId.', '', '')"
"('split.', '', '')"
"('startupInfo.', '', '')"
"('stationDaclObj.', '', '')"
"('string.', '', '')"
"('this.', '', '')"
"('tiraniddo.', '', '')"
"('tokenElevation.', '', '')"
"('tokenElevationType.', '', '')"
"('tokenp.', '', '')"
"('twitter.', '', '')"
"('user32.', '', '')"
"('userenv.', '', '')"
"('whoami.', '', '')"
"('why-not-lgpl.', '', '-lgpl')"
