"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '/2018/01/13/potato-and-tokens', '/', '2018/01/13/potato-and-tokens')"
"('https://', 'ht', 's', '/AltF5/MediumToHighIL_Test/blob/main/TestCode2.cs', '/', 'AltF5/MediumToHighIL_Test/blob/main/TestCode2.cs')"
"('https://', 'ht', 's', '/antonioCoco/RunasCs', '/', 'antonioCoco/RunasCs')"
"('https://', 'ht', 's', '/dahall/Vanara', '/', 'dahall/Vanara')"
"('https://', 'ht', 's', '/dahall/Vanara/blob/9771eadebc874cfe876011c9d6588aefb62626d9/PInvoke/Security/AdvApi32/SecurityBaseApi.cs#L4656', '/', 'dahall/Vanara/blob/9771eadebc874cfe876011c9d6588aefb62626d9/PInvoke/Security/AdvApi32/SecurityBaseApi.cs#L4656')"
"('https://', 'ht', 's', '/decoder-it', '/', 'decoder-it')"
"('https://', 'ht', 's', '/en-us/previous-versions/aa379608', '/', 'en-us/previous-versions/aa379608')"
"('https://', 'ht', 's', '/en-us/windows/win32/procthread/creating-a-child-process-with-redirected-input-and-output', '/', 'en-us/windows/win32/procthread/creating-a-child-process-with-redirected-input-and-output')"
"('https://', 'ht', 's', '/en-us/windows/win32/services/interactive-services', '/', 'en-us/windows/win32/services/interactive-services')"
"('https://', 'ht', 's', '/qtc-de', '/', 'qtc-de')"
"('https://', 'ht', 's', '/splinter_code/status/1458054161472307204', '/', 'splinter_code/status/1458054161472307204')"
"('https://', 'ht', 's', '/winlogon0', '/', 'winlogon0')"
"('https://', 'ht', 's', '/winsdk/2015/06/03/what-is-up-with-the-application-failed-to-initialize-properly-0xc0000142-error', '/', 'winsdk/2015/06/03/what-is-up-with-the-application-failed-to-initialize-properly-0xc0000142-error')"
"('www.', 'ht', 's', '/2017/05/reading-your-way-around-uac-part-1.html', '/', '2017/05/reading-your-way-around-uac-part-1.html')"
"('www.', 'ht', 's', '/2017/05/reading-your-way-around-uac-part-2.html', '/', '2017/05/reading-your-way-around-uac-part-2.html')"
"('www.', 'ht', 's', '/2017/05/reading-your-way-around-uac-part-3.html', '/', '2017/05/reading-your-way-around-uac-part-3.html')"
"('www.', 'ht', 's', '/2020/02/getting-interactive-service-account.html', '/', '2020/02/getting-interactive-service-account.html')"
"('www.', 'ht', 's', '/licenses', '/', 'licenses')"
"('www.', 'ht', 's', '/licenses/why-not-lgpl.html', '/', 'licenses/why-not-lgpl.html')"
