"('', '', '', '', '', '', '', '', '', '', 'Param\n    (\n        [Parameter(Position = 0, Mandatory = $True)', '[Parameter(Position = 0, Mandatory = $True', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Null\n\n    $output', '', 'Null', 'output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Output $output', '', 'Output', 'output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[Parameter()]\n        [String]\n        $CreateProcessFunction', '[Parameter()]', 'String', 'CreateProcessFunction', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[Parameter()]\n        [String]\n        $Domain', '[Parameter()]', 'String', 'Domain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[Parameter()]\n        [String]\n        $LogonType', '[Parameter()]', 'String', 'LogonType', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[Parameter()]\n        [String]\n        $ProcessTimeout', '[Parameter()]', 'String', 'ProcessTimeout', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[Parameter()]\n        [String]\n        $Remote', '[Parameter()]', 'String', 'Remote', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[Parameter()]\n        [Switch]\n        $BypassUac', '[Parameter()]', 'Switch', 'BypassUac', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[Parameter()]\n        [Switch]\n        $ForceProfile', '[Parameter()]', 'Switch', 'ForceProfile', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[Parameter()]\n        [Switch]\n        $RemoteImpersonation', '[Parameter()]', 'Switch', 'RemoteImpersonation', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[string]\n    $parametersRunasCs', '', 'string', 'parametersRunasCs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [String]\n        $Username', '', 'String', 'Username', '', '', '', '', '', '', '', '')"
"('[Parameter(Position = 1, Mandatory = $True)]\n        [String]\n        $Password', 'String', 'Password', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"('[Parameter(Position = 2, Mandatory = $True)]\n        [String]\n        $Command', 'String', 'Command', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
