"('', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '0', '', '0', '', '', '', '')"
"('', '', '', '', '', '000', '', '000', '', '', '', '')"
"('', '', '', '', '', '0000', '', '0000', '', '', '', '')"
"('', '', '', '', '', '0003', '', '0003', '', '', '', '')"
"('', '', '', '', '', '0011', '', '0011', '', '', '', '')"
"('', '', '', '', '', '0080', '', '0080', '', '', '', '')"
"('', '', '', '', '', '01', '', '01', '', '', '', '')"
"('', '', '', '', '', '010', '', '010', '', '', '', '')"
"('', '', '', '', '', '0181', '', '0181', '', '', '', '')"
"('', '', '', '', '', '0282', '', '0282', '', '', '', '')"
"('', '', '', '', '', '0383', '', '0383', '', '', '', '')"
"('', '', '', '', '', '040', '', '040', '', '', '', '')"
"('', '', '', '', '', '0484', '', '0484', '', '', '', '')"
"('', '', '', '', '', '0585', '', '0585', '', '', '', '')"
"('', '', '', '', '', '0686', '', '0686', '', '', '', '')"
"('', '', '', '', '', '0D0', '', '0D0', '', '', '', '')"
"('', '', '', '', '', '0b0', '', '0b0', '', '', '', '')"
"('', '', '', '', '', '0d0', '', '0d0', '', '', '', '')"
"('', '', '', '', '', '1', '', '1', '', '', '', '')"
"('', '', '', '', '', '111', '', '111', '', '', '', '')"
"('', '', '', '', '', '1111', '', '1111', '', '', '', '')"
"('', '', '', '', '', '1183', '', '1183', '', '', '', '')"
"('', '', '', '', '', '141', '', '141', '', '', '', '')"
"('', '', '', '', '', '161', '', '161', '', '', '', '')"
"('', '', '', '', '', '1D1', '', '1D1', '', '', '', '')"
"('', '', '', '', '', '1d1', '', '1d1', '', '', '', '')"
"('', '', '', '', '', '2', '', '2', '', '', '', '')"
"('', '', '', '', '', '222', '', '222', '', '', '', '')"
"('', '', '', '', '', '2222', '', '2222', '', '', '', '')"
"('', '', '', '', '', '2233', '', '2233', '', '', '', '')"
"('', '', '', '', '', '22A3', '', '22A3', '', '', '', '')"
"('', '', '', '', '', '23', '', '23', '', '', '', '')"
"('', '', '', '', '', '232', '', '232', '', '', '', '')"
"('', '', '', '', '', '242', '', '242', '', '', '', '')"
"('', '', '', '', '', '2C2', '', '2C2', '', '', '', '')"
"('', '', '', '', '', '2D2', '', '2D2', '', '', '', '')"
"('', '', '', '', '', '2d2', '', '2d2', '', '', '', '')"
"('', '', '', '', '', '2e2', '', '2e2', '', '', '', '')"
