"('1.', '', '')"
"('2.', '', '')"
"('A.', '', '')"
"('ADVAPI32.', '', '')"
"('BaseDllName.', '', '')"
"('Cpp.', '', '')"
"('CreateService.', '', '')"
"('CreateServiceDll.', '', '')"
"('Default.', '', '')"
"('FileHeader.', '', '')"
"('GoogleUpadates.', '', '')"
"('InMemoryOrderModuleList.', '', '')"
"('KERNEL32.', '', '')"
"('Microsoft.', '', '')"
"('OptionalHeader.', '', '')"
"('ReflectiveDll.', '', '')"
"('ReflectiveLoader.', '', '')"
"('Shlwapi.', '', '')"
"('TransitEXE.', '', '')"
"('beacon.', '', '')"
"('evil.', '', '')"
"('harmonysecurity.', '', '')"
"('kernel32.', '', '')"
"('main.', '', '')"
"('microsoft.', '', '')"
"('ss.', '', '')"
"('test.', '', '')"
"('transit.', '', '')"
"('u1.', '', '')"
"('user.', '', '')"
"('x64.', '', '')"
"('x86.', '', '')"
