"//
"// COM, set the ComVisible attribute to true on that type."
"// [assembly: AssemblyVersion(""1.0.*"")]"
//      Build Number
//      Major Version"
//      Minor Version
//      Revision
// AES settings
// Credentials
// Decrypt AES passwords
// General Information about an assembly is controlled through the following
// Gets registry values from TeamViewer keys
// License
// Options pass
// Proxy info
// Security pass
// Server pass
// Setting ComVisible to false makes the types in this assembly not visible
// TeamViewer Key & IV
// TeamViewer version
// The following GUID is for the ID of the typelib if this project is exposed to COM
// User info
// Version information for an assembly consists of the following four values:
// You can specify all the values or you can default the Build and Revision Numbers"
// associated with an assembly.
// by using the '*' as shown below:
// set of attributes. Change these attribute values to modify the information
// to COM components.  If you need to access a type in this assembly from
