"[assembly: AssemblyCompany("""")"
"[assembly: AssemblyConfiguration("""")"
"[assembly: AssemblyCulture("""")"
"[assembly: AssemblyDescription("""")"
"[assembly: AssemblyFileVersion(""1.0.0.0"")"
"[assembly: AssemblyProduct(""DecryptTeamViewer"")"
"[assembly: AssemblyTitle(""DecryptTeamViewer"")"
"[assembly: AssemblyTrademark("""")"
"[assembly: AssemblyVersion(""1.0.*"")"
"[assembly: AssemblyVersion(""1.0.0.0"")"
"[assembly: Guid(""d6aaed62-bbfc-4f2a-a2a4-35ec5b2a4e07"")"
[DecryptTeamViewer
[Nic Losby
[] IV = new byte[16
[] key = new byte[16
[assembly: ComVisible(false)
