"('http://', 'ht', '', '/VisualStudio/2004/01/settings', '/', 'VisualStudio/2004/01/settings')"
"('http://', 'ht', '', '/developer/msbuild/2003', '/', 'developer/msbuild/2003')"
"('https://', 'ht', 's', '/a/3227562', '/', 'a/3227562')"
"('https://', 'ht', 's', '/a/785110', '/', 'a/785110')"
"('https://', 'ht', 's', '/bitsadmin', '/', 'bitsadmin')"
"('https://', 'ht', 's', '/bitsadmin/fakelogonscreen/master/demo.gif', '/', 'bitsadmin/fakelogonscreen/master/demo.gif')"
"('https://', 'ht', 's', '/bitsadmin/fakelogonscreen/releases', '/', 'bitsadmin/fakelogonscreen/releases')"
"('https://', 'ht', 's', '/github/gitignore/blob/master/VisualStudio.gitignore', '/', 'github/gitignore/blob/master/VisualStudio.gitignore')"
"('https://', 'ht', 's', '/github/gitignore/pull/1529#issuecomment-104372622', '/', 'github/gitignore/pull/1529#issuecomment-104372622')"
"('https://', 'ht', 's', '/github/gitignore/pull/2483#issue-259490424', '/', 'github/gitignore/pull/2483#issue-259490424')"
"('www.', 'ht', '', '/2001/XMLSchema', '/', '2001/XMLSchema')"
"('www.', 'ht', '', '/XML/1998/namespace', '/', 'XML/1998/namespace')"
