"('AnchorStyles.', '', '')"
"('App.', '', '')"
"('Application.', '', '')"
"('ApplicationSettingsBase.', '', '')"
"('AssemblyInfo.', '', '')"
"('AutoScaleMode.', '', '')"
"('AutoTest.', '', '')"
"('BenchmarkDotNet.', '', '')"
"('Binary.', '', '')"
"('BorderStyle.', '', '')"
"('CPU.', '', '')"
"('CSharp.', '', '')"
"('CharSet.', '', '')"
"('CodeAnalysis.', '', '')"
"('Collections.', '', '')"
"('Color.', '', '')"
"('ColumnStyles.', '', '')"
"('Common.', '', '')"
"('Compiler.', '', '')"
"('CompilerServices.', '', '')"
"('ComponentModel.', '', '')"
"('Configuration.', '', '')"
"('Console.', '', '')"
"('ContentAlignment.', '', '')"
"('ContextType.', '', '')"
"('Controls.', '', '')"
"('Data.', '', '')"
"('Designer.', '', '')"
"('Diagnostics.', '', '')"
"('Directory.', '', '')"
"('DirectoryServices.', '', '')"
"('DockStyle.', '', '')"
"('DotSettings.', '', '')"
"('Drawing.', '', '')"
"('EditorBrowsableState.', '', '')"
"('Environment.', '', '')"
"('FakeLogonScreen.', '', '')"
"('FakeLogonScreenToFile.', '', '')"
"('File.', '', '')"
"('FileAttributes.', '', '')"
"('FontStyle.', '', '')"
"('FormBorderStyle.', '', '')"
"('FormStartPosition.', '', '')"
"('FormWindowState.', '', '')"
"('Forms.', '', '')"
"('GhostDoc.', '', '')"
"('Globalization.', '', '')"
"('GraphicsUnit.', '', '')"
"('Image.', '', '')"
"('ImageLayout.', '', '')"
"('IntPtr.', '', '')"
"('Keys.', '', '')"
"('LayoutKind.', '', '')"
"('LinkBehavior.', '', '')"
"('LocalMachine.', '', '')"
"('LogonScreen.', '', '')"
"('Marshal.', '', '')"
"('Microsoft.', '', '')"
"('ModelManifest.', '', '')"
"('Node.', '', '')"
"('PictureBoxSizeMode.', '', '')"
"('Process.', '', '')"
"('Program.', '', '')"
"('Properties.', '', '')"
"('ResourceManager.', '', '')"
"('Resources.', '', '')"
"('RowStyles.', '', '')"
"('Runtime.', '', '')"
"('Screen.', '', '')"
"('Settings.', '', '')"
"('SettingsDesigner.', '', '')"
"('Sid.', '', '')"
"('SizeType.', '', '')"
"('Soap.', '', '')"
"('SpecialFolder.', '', '')"
"('StoreAssociation.', '', '')"
"('StyleCopReport.', '', '')"
"('SubmitIcon.', '', '')"
"('System.', '', '')"
"('TestResult.', '', '')"
"('Tools.', '', '')"
"('UserIcon.', '', '')"
"('UserPrincipal.', '', '')"
"('VC.', '', '')"
"('VisualState.', '', '')"
"('VisualStudio.', '', '')"
"('Windows.', '', '')"
"('WorkingArea.', '', '')"
"('Xml.', '', '')"
"('ackup.', '', '')"
"('ado.', '', '')"
"('base.', '', '')"
"('bim.', '', '')"
"('black.', '', '')"
"('btm.', '', '')"
"('btp.', '', '')"
"('build.', '', '')"
"('codegen.', '', '')"
"('components.', '', '')"
"('context.', '', '')"
"('dbproj.', '', '')"
"('demo.', '', '')"
"('e.', '', '')"
"('fe.', '', '')"
"('file.', '', '')"
"('github.', '', '')"
"('githubusercontent.', '', '')"
"('img100.', '', '')"
"('kernel32.', '', '')"
"('lblError.', '', '')"
"('lblUsername.', '', '')"
"('llblResetPassword.', '', '')"
"('llblSigninOptions.', '', '')"
"('local.', '', '')"
"('lock.', '', '')"
"('microsoft.', '', '')"
"('mtbPassword.', '', '')"
"('name.', '', '')"
"('nuget.', '', '')"
"('objCurrentModule.', '', '')"
"('objKeyInfo.', '', '')"
"('object.', '', '')"
"('object.', '', '-microsoft')"
"('odx.', '', '')"
"('pPassword.', '', '')"
"('packages.', '', '')"
"('paket.', '', '')"
"('pbSubmit.', '', '')"
"('pbUser.', '', '')"
"('project.', '', '')"
"('rdl.', '', '')"
"('regLockScreen.', '', '')"
"('repositories.', '', '')"
"('rptproj.', '', '')"
"('s.', '', '')"
"('settings.', '', '')"
"('sln.', '', '')"
"('stackoverflow.', '', '')"
"('string.', '', '')"
"('this.', '', '')"
"('tlpControls.', '', '')"
"('twitter.', '', '')"
"('ublish.', '', '')"
"('user.', '', '')"
"('user32.', '', '')"
"('w3.', '', '')"
"('xsd.', '', '')"
