"Password.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 12F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
"Password.Font = new System.Drawing.Font(""Segoe UI Light"", 12F);"
"Password.Location = new System.Drawing.Point(192, 315);"
"Password.Location = new System.Drawing.Point(3, 403);"
"Password.Location = new System.Drawing.Point(51, 12);"
"Password.Margin = new System.Windows.Forms.Padding(3, 15, 3, 0);"
"Password.Name = ""llblResetPassword"";"
"Password.Name = ""mtbPassword"";"
"Password.Name = ""pPassword"";"
"Password.Size = new System.Drawing.Size(200, 26);"
"Password.Size = new System.Drawing.Size(315, 50);"
"Password.Size = new System.Drawing.Size(694, 23);"
"Password.Text = ""Reset password"";"
"password = ""[blank password]"";"
"password, success ? ""Correct"" : ""Wrong"");"
Password = new System.Windows.Forms.LinkLabel();
Password = new System.Windows.Forms.MaskedTextBox();
Password = new System.Windows.Forms.Panel();
Password.ActiveLinkColor = System.Drawing.Color.DarkGray;
Password.Anchor = System.Windows.Forms.AnchorStyles.None;
Password.BorderStyle = System.Windows.Forms.BorderStyle.FixedSingle;
Password.Dock = System.Windows.Forms.DockStyle.Bottom;
Password.KeyUp += new System.Windows.Forms.KeyEventHandler(this.mtbPassword_KeyUp);
Password.LinkBehavior = System.Windows.Forms.LinkBehavior.NeverUnderline;
Password.LinkColor = System.Drawing.Color.White;
Password.TabIndex = 1;
Password.TabIndex = 2;
Password.TabIndex = 3;
Password.TabStop = true;
Password.Text = string.Empty;
Password.TextAlign = System.Drawing.ContentAlignment.MiddleCenter;
Password.UseSystemPasswordChar = true;
password = mtbPassword.Text;
