"('', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', 'B', '', 'B', '', '', '', '')"
"('', '', '', '', '', 'C', '', 'C', '', '', '', '')"
"('', '', '', '', '', 'Ed', '', 'Ed', '', '', '', '')"
"('', '', '', '', '', 'a', '', 'a', '', '', '', '')"
"('', '', '', '', '', 'ab', '', 'ab', '', '', '', '')"
"('', '', '', '', '', 'b', '', 'b', '', '', '', '')"
"('', '', '', '', '', 'ba', '', 'ba', '', '', '', '')"
"('', '', '', '', '', 'c', '', 'c', '', '', '', '')"
"('', '', '', '', '', 'ce', '', 'ce', '', '', '', '')"
"('', '', '', '', '', 'de', '', 'de', '', '', '', '')"
"('', '', '', '', '', 'defa', '', 'defa', '', '', '', '')"
"('', '', '', '', '', 'e', '', 'e', '', '', '', '')"
"('', '', '', '', '', 'eA', '', 'eA', '', '', '', '')"
"('', '', '', '', '', 'ea', '', 'ea', '', '', '', '')"
"('', '', '', '', '', 'ed', '', 'ed', '', '', '', '')"
"('::', '::', '', '', '', '', '', '', '', '', '', '')"
"('::', '::', '', '', '', 'Fa', '', 'Fa', '', '', '', '')"
