"('Admins.', '', '')"
"('BHIS-logo-L-1024x1024-221x221.', '', '-221x221')"
"('SecretsDump.', '', '')"
"('argparse.', '', '')"
"('args.', '', '')"
"('binascii.', '', '')"
"('blackhillsinfosec.', '', '')"
"('c.', '', '')"
"('casing.', '', '')"
"('conn.', '', '')"
"('customer-small.', '', '-small')"
"('customer.', '', '')"
"('distutils.', '', '')"
"('domain.', '', '')"
"('dpat.', '', '')"
"('dpatSummary.', '', '')"
"('f.', '', '')"
"('fin.', '', '')"
"('fing.', '', '')"
"('first.', '', '')"
"('github.', '', '')"
"('githubusercontent.', '', '')"
"('hash.', '', '')"
"('hashcat.', '', '')"
"('hashcat64.', '', '')"
"('hashes.', '', '')"
"('hashlib.', '', '')"
"('history.', '', '')"
"('htmllib.', '', '')"
"('io.', '', '')"
"('john-customer-small.', '', '-small')"
"('john.', '', '')"
"('l.', '', '')"
"('line.', '', '')"
"('lineT.', '', '')"
"('medium.', '', '')"
"('members.', '', '')"
"('microsoft.', '', '')"
"('ntds.', '', '')"
"('oclHashcat.', '', '')"
"('os.', '', '')"
"('password.', '', '')"
"('passwords.', '', '')"
"('path.', '', '')"
"('python.', '', '')"
"('re.', '', '')"
"('report.', '', '')"
"('results.', '', '')"
"('secrectsdump.', '', '')"
"('secretsdump.', '', '')"
"('self.', '', '')"
"('sqlite3.', '', '')"
"('username.', '', '')"
"('usernameFull.', '', '')"
"('users.', '', '')"
"('webbrowser.', '', '')"
