"('https://', 'ht', 's', '/@airman604/installing-impacket-on-windows-ded7ba8bec9a', '/', '@airman604/installing-impacket-on-windows-ded7ba8bec9a')"
"('https://', 'ht', 's', '/BBerastegui/foo/blob/master/casing.py', '/', 'BBerastegui/foo/blob/master/casing.py')"
"('https://', 'ht', 's', '/ChrisTruncer/EyeWitness', '/', 'ChrisTruncer/EyeWitness')"
"('https://', 'ht', 's', '/CoreSecurity/impacket/blob/master/examples/secretsdump.py', '/', 'CoreSecurity/impacket/blob/master/examples/secretsdump.py')"
"('https://', 'ht', 's', '/PowerShellMafia/PowerSploit/tree/master/Recon', '/', 'PowerShellMafia/PowerSploit/tree/master/Recon')"
"('https://', 'ht', 's', '/SecureAuthCorp/impacket/issues/656', '/', 'SecureAuthCorp/impacket/issues/656')"
"('https://', 'ht', 's', '/fwlink/?linkid=830387', '/', 'fwlink/?linkid=830387')"
"('https://', 'ht', 's', '/joswr1ght/c557f8627832d54458c810e43be9c055/raw/b46e5e976196a20e7ecfe88da7d7a22c747d64e0/groupenumeration.ps1', '/', 'joswr1ght/c557f8627832d54458c810e43be9c055/raw/b46e5e976196a20e7ecfe88da7d7a22c747d64e0/groupenumeration.ps1')"
"('www.', 'ht', '', '', '', '')"
"('www.', 'ht', '', '/?p=5527', '/', '?p=5527')"
"('www.', 'ht', 's', '/wp-content/uploads/2018/12/BHIS-logo-L-1024x1024-221x221.png', '/', 'wp-content/uploads/2018/12/BHIS-logo-L-1024x1024-221x221.png')"
