"(""'"", '-c', '', '', '', '', '', '', '', '', '')"
"(""'"", '-d', '', '', '', '', '', '', '', '', '')"
"(""'"", '-g', '', '', '', '', '', '', '', '', '')"
"(""'"", '-k', '', '', '', '', '', '', '', '', '')"
"(""'"", '-m', '', '', '', '', '', '', '', '', '')"
"(""'"", '-n', '', '', '', '', '', '', '', '', '')"
"(""'"", '-o', '', '', '', '', '', '', '', '', '')"
"(""'"", '-s', '', '', '', '', '', '', '', '', '')"
"(""'"", '-w', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', 'if', 'grouplists is not None', '', '', '', '', '')"
"('', '', '', '', 'if', 'machineaccts or not username.endswith(""$"") and args.krbtgt or not username == ""krbtgt""', '', '', '', '', '')"
"('', '', '', '', 'if', 'sanitize', '', '', '', '', '')"
"('', '', '', '', 'if', 'writedb', '', '', '', '', '')"
"('', '', '', '', 'in', 'grouplists', '', '', '', '', '')"
"('', '', '', '', 'not', 'sanitize', '', '', '', '', '')"
