"('http://', 'ht', '', '', '', '')"
"('http://', 'ht', '', '/tdewolff/minify/js', '/', 'tdewolff/minify/js')"
"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '/-W-LxcbUxI4', '/', '-W-LxcbUxI4')"
"('https://', 'ht', 's', '/-W-LxcbUxI4?feature=shared', '/', '-W-LxcbUxI4?feature=shared')"
"('https://', 'ht', 's', '/0xAnalyst/awesome-email-security', '/', '0xAnalyst/awesome-email-security')"
"('https://', 'ht', 's', '/2024/01/defending-against-the-attack-of-the-cloned-websites.html', '/', '2024/01/defending-against-the-attack-of-the-cloned-websites.html')"
"('https://', 'ht', 's', '/2024/06/03/clipping-the-canarys-wings-bypassing-aitm-phishing-detections', '/', '2024/06/03/clipping-the-canarys-wings-bypassing-aitm-phishing-detections')"
"('https://', 'ht', 's', '/6jYZQKDlKco?si=cpfd4tWQ4V8ZAZaI', '/', '6jYZQKDlKco?si=cpfd4tWQ4V8ZAZaI')"
"('https://', 'ht', 's', '/@yudasm/bypassing-windows-hello-for-business-for-phishing-181f2271dc02', '/', '@yudasm/bypassing-windows-hello-for-business-for-phishing-181f2271dc02')"
"('https://', 'ht', 's', '/An0nUD4Y/Evilginx2-Phishlets#securing-evilginx-infra-tips', '/', 'An0nUD4Y/Evilginx2-Phishlets#securing-evilginx-infra-tips')"
"('https://', 'ht', 's', '/An0nUD4Y/Evilginx2-Phishlets', '/', 'An0nUD4Y/Evilginx2-Phishlets')"
"('https://', 'ht', 's', '/An0nUD4Y/Evilginx2-Phishlets?tab=readme-ov-file#some-less-known-techniques', '/', 'An0nUD4Y/Evilginx2-Phishlets?tab=readme-ov-file#some-less-known-techniques')"
"('https://', 'ht', 's', '/EYUp_MNtJIk?si=sg_9RQggDvqOSLNL', '/', 'EYUp_MNtJIk?si=sg_9RQggDvqOSLNL')"
"('https://', 'ht', 's', '/Flangvik/Bobber', '/', 'Flangvik/Bobber')"
"('https://', 'ht', 's', '/Flangvik/QRucible', '/', 'Flangvik/QRucible')"
"('https://', 'ht', 's', '/KhdzIPPW4W0?si=E4CmWx0iO8EaR6JF', '/', 'KhdzIPPW4W0?si=E4CmWx0iO8EaR6JF')"
"('https://', 'ht', 's', '/Nh99d3YnpI4?si=Ltwus2PS0z97gf2R', '/', 'Nh99d3YnpI4?si=Ltwus2PS0z97gf2R')"
"('https://', 'ht', 's', '/Phishing-Red-Team-Engagement-Infra-1c6fba8f2d854a14ba76320284161c5e?pvs=4', '/', 'Phishing-Red-Team-Engagement-Infra-1c6fba8f2d854a14ba76320284161c5e?pvs=4')"
