"('201.', '', '')"
"('20Tactics.', '', '')"
"('A-Gophish-Adventure.', '', '-Adventure')"
"('Certified-Red-Team-CredOps-Infiltrator-CRT-COI-1.', '', '-1')"
"('Header.', '', '')"
"('PhishingInfra.', '', '')"
"('RedTeamInfraAutomation.', '', '')"
"('SiteLookup.', '', '')"
"('Tactics.', '', '')"
"('Untitled.', '', '')"
"('a-smooth-sea-never-made-a-skilled-phisherman.', '', '-phisherman')"
"('amazon.', '', '')"
"('aurainfosec.', '', '')"
"('badoption.', '', '')"
"('bleekseeks.', '', '')"
"('bluecoat.', '', '')"
"('breakdev.', '', '')"
"('brevo.', '', '')"
"('brightcloud.', '', '')"
"('cert.', '', '')"
"('checkpoint.', '', '')"
"('cloudflare.', '', '')"
"('co.', '', '')"
"('config.', '', '')"
"('contact-support.', '', '-support')"
"('cyberwarfare.', '', '')"
"('cyren.', '', '')"
"('defending-against-the-attack-of-the-cloned-websites.', '', '-websites')"
"('domain.', '', '')"
"('evilginx.', '', '')"
"('example.', '', '')"
"('expireddomains.', '', '')"
"('fmt.', '', '')"
"('for.', '', '')"
"('forcepoint.', '', '')"
"('fortiguard.', '', '')"
"('github.', '', '')"
"('github.', '', '-phish')"
"('googleweblight.', '', '')"
"('gophish.', '', '')"
"('http.', '', '')"
"('ibmcloud.', '', '')"
"('ja4db.', '', '')"
"('jackphilipbutton.', '', '')"
"('janbakker.', '', '')"
"('js.', '', '')"
"('lightspeedsystems.', '', '')"
"('linkedin.', '', '')"
"('lots-project.', '', '-project')"
"('m4lici0u5.', '', '')"
"('mail-tester.', '', '-tester')"
"('mailgun.', '', '')"
"('maillog.', '', '')"
"('main.', '', '')"
"('maliciousdomain.', '', '')"
"('medium.', '', '')"
"('mgeeky.', '', '')"
"('microsoft.', '', '')"
"('minifier.', '', '')"
"('minify.', '', '')"
"('mrd0x.', '', '')"
"('netlify.', '', '')"
"('nginx.', '', '')"
"('notion.', '', '')"
"('of0x.', '', '')"
"('paloaltonetworks.', '', '')"
"('phish.', '', '')"
"('phishing-HTML-linter.', '', '-linter')"
"('pixel.', '', '')"
"('pkix.', '', '')"
"('pushsecurity.', '', '')"
"('redsiege.', '', '')"
"('regexp.', '', '')"
"('robots.', '', '')"
"('sendgrid.', '', '')"
"('shared-video.', '', '-video')"
"('sophos.', '', '')"
"('specterops.', '', '')"
"('spotit.', '', '')"
"('sprocketsecurity.', '', '')"
"('thinkst.', '', '')"
"('trendmicro.', '', '')"
"('trustedsec.', '', '')"
"('trustedsource.', '', '')"
"('untrustednetwork.', '', '')"
"('url-ip-lookup.', '', '-lookup')"
"('util.', '', '')"
"('websense.', '', '')"
"('x.', '', '')"
"('x509.', '', '')"
"('youtu.', '', '')"
"('youtube.', '', '')"
"('zolder.', '', '')"
