"('ActiveDirectory.', '', '')"
"('AsyncWaitHandle.', '', '')"
"('Automation.', '', '')"
"('CSharp.', '', '')"
"('ClipboardContent.', '', '')"
"('Collections.', '', '')"
"('Compiler.', '', '')"
"('Compression.', '', '')"
"('ComputerAccess.', '', '')"
"('ComputerName.', '', '')"
"('Console.', '', '')"
"('Core.', '', '')"
"('CurrentDomain.', '', '')"
"('DirectoryServices.', '', '')"
"('DisplayName.', '', '')"
"('DomainName.', '', '')"
"('Drawing.', '', '')"
"('Error.', '', '')"
"('Exception.', '', '')"
"('File.', '', '')"
"('FileServerProcess.', '', '')"
"('Generic.', '', '')"
"('IO.', '', '')"
"('IPAddress.', '', '')"
"('Imaging.', '', '')"
"('InjectOutput.', '', '')"
"('Instance.', '', '')"
"('Job.', '', '')"
"('KeylogContent.', '', '')"
"('Listener.', '', '')"
"('LocalAdminAccess.', '', '')"
"('LocalAdminAccessOutput.', '', '')"
"('Management.', '', '')"
"('ManifestModule.', '', '')"
"('MultipleSessions.', '', '')"
"('Mutex.', '', '')"
"('Net.', '', '')"
"('NetworkInformation.', '', '')"
"('Output.', '', '')"
"('Path.', '', '')"
"('Pipe.', '', '')"
"('PipeClient.', '', '')"
"('PipeName.', '', '')"
"('Pipes.', '', '')"
"('PowerShell.', '', '')"
"('Principal.', '', '')"
"('Properties.', '', '')"
"('PropertiesToLoad.', '', '')"
"('Qualifiers.', '', '')"
"('RDPKeylog.', '', '')"
"('RDPLog.', '', '')"
"('RawClientScript.', '', '')"
"('RawServerScript.', '', '')"
"('RawUI.', '', '')"
"('ReferencedAssemblies.', '', '')"
"('Result.', '', '')"
"('Runspace.', '', '')"
"('RunspacePool.', '', '')"
"('ShCodePlaceholder.', '', '')"
"('Sockets.', '', '')"
"('System.', '', '')"
"('TempAdminAccessTargets.', '', '')"
"('TempUsernameGrab.', '', '')"
"('Text.', '', '')"
"('Threading.', '', '')"
"('TrustAttributesMapping.', '', '')"
"('UTF8.', '', '')"
"('Unicode.', '', '')"
"('UniquePipeID.', '', '')"
"('User.', '', '')"
"('UserID.', '', '')"
"('UserPath.', '', '')"
"('WindowSize.', '', '')"
"('Windows.', '', '')"
"('a.', '', '')"
"('adminLines.', '', '')"
"('allTargets.', '', '')"
"('b.', '', '')"
"('bitmap.', '', '')"
"('bookmark.', '', '')"
"('bookmarks.', '', '')"
"('bytesToCompress.', '', '')"
"('c.', '', '')"
"('choice.', '', '')"
"('chunks.', '', '')"
"('client.', '', '')"
"('cmd.', '', '')"
"('command.', '', '')"
"('connectionOptions.', '', '')"
"('content.', '', '')"
"('createNewClass.', '', '')"
"('directAdminSessions.', '', '')"
"('domain.', '', '')"
"('dummyPipeClient.', '', '')"
"('ferrari.', '', '')"
"('ferrari.', '', '-01')"
"('gatherhostname.', '', '')"
"('gentilkiwi.', '', '')"
"('github.', '', '')"
"('githubusercontent.', '', '')"
"('graphics.', '', '')"
"('gzipCompressor.', '', '')"
"('index.', '', '')"
"('line.', '', '')"
"('listener.', '', '')"
"('listenerSessions.', '', '')"
"('log.', '', '')"
"('memoryStream.', '', '')"
"('multilistener.', '', '')"
"('net.', '', '')"
"('noAccessLines.', '', '')"
"('objSearcher.', '', '')"
"('p.', '', '')"
"('pS.', '', '')"
"('params.', '', '')"
"('pipeClient.', '', '')"
"('pipeServer.', '', '')"
"('powerShellInstance.', '', '')"
"('powershell.', '', '')"
"('process.', '', '')"
"('processId.', '', '')"
"('provider.', '', '')"
"('ps.', '', '')"
"('psCmd.', '', '')"
"('psRunspace.', '', '')"
"('r.', '', '')"
"('reader.', '', '')"
"('remotePath.', '', '')"
"('request.', '', '')"
"('result.', '', '')"
"('results.', '', '')"
"('run.', '', '')"
"('runspace.', '', '')"
"('runspacePool.', '', '')"
"('runspaces.', '', '')"
"('sD.', '', '')"
"('sc.', '', '')"
"('scope.', '', '')"
"('sd.', '', '')"
"('searcher.', '', '')"
"('securityDescriptor.', '', '')"
"('selectedMultiSession.', '', '')"
"('selectedSession.', '', '')"
"('server.', '', '')"
"('serverOutput.', '', '')"
"('sess.', '', '')"
"('sr.', '', '')"
"('startProcess.', '', '')"
"('state.', '', '')"
"('stream.', '', '')"
"('sw.', '', '')"
"('tcpClient.', '', '')"
"('test.', '', '')"
"('tm.', '', '')"
"('uri.', '', '')"
"('url.', '', '')"
"('userDirs.', '', '')"
"('userdefPath.', '', '')"
"('userdefURL.', '', '')"
"('w.', '', '')"
"('whoamiInfo.', '', '')"
"('wmiData.', '', '')"
"('wmiDataOutput.', '', '')"
"('writer.', '', '')"
