"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '/3xpl01tc0d3r/ProcessInjection', '/', '3xpl01tc0d3r/ProcessInjection')"
"('https://', 'ht', 's', '/GhostPack/Rubeus', '/', 'GhostPack/Rubeus')"
"('https://', 'ht', 's', '/Leo4j/Amnesiac', '/', 'Leo4j/Amnesiac')"
"('https://', 'ht', 's', '/Leo4j/Amnesiac/main/Tools', '/', 'Leo4j/Amnesiac/main/Tools')"
"('https://', 'ht', 's', '/Leo4j/Find-LocalAdminAccess', '/', 'Leo4j/Find-LocalAdminAccess')"
"('https://', 'ht', 's', '/Leo4j/Invoke-GrabTheHash', '/', 'Leo4j/Invoke-GrabTheHash')"
"('https://', 'ht', 's', '/Leo4j/Invoke-SMBRemoting', '/', 'Leo4j/Invoke-SMBRemoting')"
"('https://', 'ht', 's', '/Leo4j/Invoke-SessionHunter', '/', 'Leo4j/Invoke-SessionHunter')"
"('https://', 'ht', 's', '/Leo4j/Invoke-WMIRemoting', '/', 'Leo4j/Invoke-WMIRemoting')"
"('https://', 'ht', 's', '/Leo4j/PassSpray', '/', 'Leo4j/PassSpray')"
"('https://', 'ht', 's', '/Leo4j/Token-Impersonation', '/', 'Leo4j/Token-Impersonation')"
"('https://', 'ht', 's', '/Leo4j/Validate-Credentials', '/', 'Leo4j/Validate-Credentials')"
"('https://', 'ht', 's', '/MzHmO/PowershellKerberos', '/', 'MzHmO/PowershellKerberos')"
"('https://', 'ht', 's', '/PowerShellMafia/PowerSploit', '/', 'PowerShellMafia/PowerSploit')"
"('https://', 'ht', 's', '/nocerainfosec/TakeMyRDP2.0', '/', 'nocerainfosec/TakeMyRDP2.0')"
"('https://', 'ht', 's', '/tmenochet/PowerDump', '/', 'tmenochet/PowerDump')"
"('https://', 'ht', 's', '/vletoux/MakeMeEnterpriseAdmin', '/', 'vletoux/MakeMeEnterpriseAdmin')"
