"('', '', '', '', '', '', ' 0\n\t\t\t$MultiSessionObject', '', '0', 'MultiSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n\t\t\t$SingleSessionObject', '', '0', 'SingleSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n\t\t\t$directory', '', '0', 'directory', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n\t\t\t$timeout', '', '0', 'timeout', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n\t\t\t\t$timeInterval', '', '0', 'timeInterval', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x1c\n$shellcode', '', '0x1c', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x28\n$shellcode', '', '0x28', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x3d\n$shellcode', '', '0x3d', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x52\n$shellcode', '', '0x52', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x5e\n$shellcode', '', '0x5e', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x7e\n$shellcode', '', '0x7e', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x7f\n$shellcode', '', '0x7f', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n\t\t\t\t$elapsedTime', '', '1', 'elapsedTime', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 2\n\n\t\t\t$userdefURL', '', '2', 'userdefURL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 2\n\t\t\t$InjectPID', '', '2', 'InjectPID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 2\n\t\t\t$OldGlobalPipeName', '', '2', 'OldGlobalPipeName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 2\n\t\t\t$shellcommand', '', '2', 'shellcommand', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 3\n\n\t\t\t$userdefPort', '', '3', 'userdefPort', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 3\n\t\t\t$InjectPID', '', '3', 'InjectPID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 3\n\t\t\t$Method', '', '3', 'Method', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 40\n\t\t\t\t$elapsedTime', '', '40', 'elapsedTime', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 5\n\n\t\t$runspace', '', '5', 'runspace', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 5\n\t\t\t\t$bookmark', '', '5', 'bookmark', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 5\n\t\t\t\t$selectedTarget', '', '5', 'selectedTarget', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 5\n\t\t\t\t\t$selectedTarget', '', '5', 'selectedTarget', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 7\n\t\t\t\n\t\t\t$userdeftargets', '', '7', 'userdeftargets', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 8\n    $chunks', '', '8', 'chunks', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Access\n\t\t\t\t$global', '', 'Access', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Access\n\t\t\t\t\t$global', '', 'Access', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Base64\n\t\t\t\t$fileContentBase64', '', 'Base64', 'fileContentBase64', '', '', '', '', '', '', '', '')"
