"('App.', '', '')"
"('ArgParse.', '', '')"
"('Array.', '', '')"
"('Assembly.', '', '')"
"('AssemblyInfo.', '', '')"
"('CPU.', '', '')"
"('CSAgent.', '', '')"
"('CSFalconService.', '', '')"
"('CSharp.', '', '')"
"('CharSet.', '', '')"
"('Collections.', '', '')"
"('Common.', '', '')"
"('Console.', '', '')"
"('Convert.', '', '')"
"('Data.', '', '')"
"('DirectoryServices.', '', '')"
"('Domain.', '', '')"
"('File.', '', '')"
"('IntPtr.', '', '')"
"('Interop.', '', '')"
"('Krueger.', '', '')"
"('Microsoft.', '', '')"
"('MsDefenderCoreService.', '', '')"
"('MsMpEng.', '', '')"
"('MsSense.', '', '')"
"('Net.', '', '')"
"('Policy.', '', '')"
"('Program.', '', '')"
"('Reboot.', '', '')"
"('Remoting.', '', '')"
"('Runtime.', '', '')"
"('Security.', '', '')"
"('System.', '', '')"
"('Threading.', '', '')"
"('UnmanagedType.', '', '')"
"('WindowsIdentity.', '', '')"
"('Xml.', '', '')"
"('advapi32.', '', '')"
"('args.', '', '')"
"('assembly.', '', '')"
"('beierle.', '', '')"
"('cmd.', '', '')"
"('e.', '', '')"
"('fsf.', '', '')"
"('github.', '', '')"
"('gnu.', '', '')"
"('impersonationContext.', '', '')"
"('memoryStream.', '', '')"
"('microsoft.', '', '')"
"('stream.', '', '')"
"('why-not-lgpl.', '', '-lgpl')"
"('x.', '', '')"
