"('http://', 'ht', '', '', '', '')"
"('http://', 'ht', '', '/COMODORSAAddTrustCA.crt0', '/', 'COMODORSAAddTrustCA.crt0')"
"('http://', 'ht', '', '/COMODORSACertificationAuthority.crl0q', '/', 'COMODORSACertificationAuthority.crl0q')"
"('http://', 'ht', '', '/WARC/WARC_ISO_28500_version1_latestdraft.pdf', '/', 'WARC/WARC_ISO_28500_version1_latestdraft.pdf')"
"('http://', 'ht', '', '/definition/RAT-remote-access-Trojan', '/', 'definition/RAT-remote-access-Trojan')"
"('http://', 'ht', '', '/p/inih/issues/detail?id=21', '/', 'p/inih/issues/detail?id=21')"
"('http://', 'ht', '', '/warc/1.0/revisit/identical-payload-digest', '/', 'warc/1.0/revisit/identical-payload-digest')"
"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '/AHXR', '/', 'AHXR')"
"('https://', 'ht', 's', '/AHXR/ahxrlogger', '/', 'AHXR/ahxrlogger')"
"('https://', 'ht', 's', '/AHXR/ahxrwinsocket', '/', 'AHXR/ahxrwinsocket')"
"('https://', 'ht', 's', '/CPS0A', '/', 'CPS0A')"
"('https://', 'ht', 's', '/CPS0C', '/', 'CPS0C')"
"('https://', 'ht', 's', '/NDCXXgD.jpg', '/', 'NDCXXgD.jpg')"
"('https://', 'ht', 's', '/W5aC6rg.png', '/', 'W5aC6rg.png')"
"('https://', 'ht', 's', '/benhoyt', '/', 'benhoyt')"
"('https://', 'ht', 's', '/benhoyt/inih', '/', 'benhoyt/inih')"
"('https://', 'ht', 's', '/nlohmann', '/', 'nlohmann')"
"('https://', 'ht', 's', '/nlohmann/json', '/', 'nlohmann/json')"
"('www.', 'ht', '', '', '', '')"
"('www.', 'ht', '', '/2000/xmlns', '/', '2000/xmlns')"
"('www.', 'ht', '', '/XML/1998/namespace', '/', 'XML/1998/namespace')"
"('www.', 'ht', '', '/discuss/topic/42792-wmi-get-antivirus-name-c/?p=10106373', '/', 'discuss/topic/42792-wmi-get-antivirus-name-c/?p=10106373')"
"('www.', 'ht', '', '/licenses', '/', 'licenses')"
"('www.', 'ht', '', '/licenses/gpl.html', '/', 'licenses/gpl.html')"
"('www.', 'ht', '', '/philosophy/why-not-lgpl.html', '/', 'philosophy/why-not-lgpl.html')"
"('www.', 'ht', '', '/support/faq.html', '/', 'support/faq.html')"
