 -- '%c'
 -- `-n%c'
 -- broken link!!!
 -- not retrieving.
 -- retrieving.
 -- simple .INI file parser
 -- the caller must do that. */
 -- time-stamp ignored.
 -- time-stamps turned off.
 --%s--
 --accept-regex=REGEX        regex matching accepted URLs
 --accept=LIST               comma-separated list of accepted extensions
 --adjust-extension          save HTML/CSS documents with proper extensions
 --append-output=FILE        append messages to FILE
 --ask-password              prompt for passwords
 --ask-password and --password.
 --auth-no-challenge         send Basic HTTP authentication information
 --background                go to background after startup
 --base=URL                  resolves HTML input-file links (-i -F)
 --bind-address=ADDRESS      bind to ADDRESS (hostname or IP) on local host
 --body-data and --body-file.
 --body-data=STRING          send STRING as data. --method MUST be set
 --body-file=FILE            send contents of FILE. --method MUST be set
 --ca-certificate=FILE       file with the bundle of CAs
 --ca-directory=DIR          directory where hash list of CAs is stored
 --certificate=FILE          client certificate file
 --config.
 --config=FILE               specify config file to use
 --connect-timeout=SECS      set the connect timeout to SECS
 --content-disposition       honor the Content-Disposition header when
 --content-on-error          output the received content on server errors
 --continue                  resume getting a partially-downloaded file
 --convert-file-only         convert the file part of the URLs only (usually known as the basename)
 --convert-file-only can be used together only if outputting to a regular file.
 --convert-links             make links in downloaded HTML or CSS point to
 --crl-file=FILE             file with bundle of CRLs
 --cut-dirs=NUMBER           ignore NUMBER remote directory components
 --debug                     print lots of debugging information
 --default-page=NAME         change the default page name (normally
 --delete-after              delete files locally after downloading them
 --delete-after in ftp_loop_internal():
 --delete-after in main():
 --delete-after in retrieve_from_file():
 --directory-prefix=PREFIX   save files to PREFIX/..
 --dns-timeout=SECS          set the DNS lookup timeout to SECS
 --domains=LIST              comma-separated list of accepted domains
 --egd-file=FILE             file naming the EGD socket with random data
 --exclude-directories=LIST  list of excluded directories
 --exclude-domains=LIST      comma-separated list of rejected domains
 --execute command %s
 --execute=COMMAND           execute a `.wgetrc'-style command
 --follow-ftp                follow FTP links from HTML documents
 --follow-tags=LIST          comma-separated list of followed HTML tags
 --force-directories         force creation of directories
 --force-html                treat input file as HTML
 --ftp-password=PASS         set ftp password to PASS
 --ftp-user=USER             set ftp user to USER
 --ftps-clear-data-connection    cipher the control channel only; all the data will be in plaintext
 --ftps-fallback-to-ftp          fall back to FTP if FTPS is not supported in the target server
 --ftps-implicit                 use implicit FTPS (default port is 990)
 --ftps-resume-ssl               resume the SSL/TLS session started in the control connection when
 --header=STRING             insert STRING among the headers
 --help                      print this help
 --help' for more options.
 --hsts-file                 path of HSTS database (will override default)
 --http-password=PASS        set http password to PASS
 --http-user=USER            set http user to USER
 --https-only                only follow secure HTTPS links
 --ignore-case               ignore case when matching files/directories
 --ignore-length             ignore 'Content-Length' header field
 --ignore-tags=LIST          comma-separated list of ignored HTML tags
 --include-directories=LIST  list of allowed directories
 --inet4-only                connect only to IPv4 addresses
 --inet4-only and --inet6-only.
 --inet6-only                connect only to IPv6 addresses
 --input-file=FILE           download URLs found in local or external FILE
 --input-metalink=FILE       download files covered in local Metalink FILE
 --keep-session-cookies      load and save session (non-permanent) cookies
 --level=NUMBER              maximum recursion depth (inf or 0 for infinite)
 --limit-rate=RATE           limit download rate to RATE
 --load-cookies=FILE         load cookies from FILE before session
 --local-encoding=ENC        use ENC as the local encoding for IRIs
 --max-redirect              maximum redirections allowed per page
 --metalink-over-http        use Metalink metadata from HTTP response headers
 --mirror                    shortcut for -N -r -l inf --no-remove-listing
 --no-cache                  disallow server-cached data
 --no-check-certificate      don't validate the server's certificate
 --no-clobber                skip downloads that would download to
 --no-config                 do not read any config file
 --no-cookies                don't use cookies
 --no-directories            don't create directories
 --no-dns-cache              disable caching DNS lookups
 --no-glob                   turn off FTP file name globbing
 --no-host-directories       don't create host directories
 --no-hsts                   disable HSTS
 --no-http-keep-alive        disable HTTP keep-alive (persistent connections)
 --no-if-modified-since      don't use conditional if-modified-since get
 --no-if-modified-since option.
 --no-iri                    turn off IRI support
 --no-parent                 don't ascend to the parent directory
 --no-proxy                  explicitly turn off proxy
 --no-remove-listing         don't remove '.listing' files
 --no-use-server-timestamps  don't set the local file's timestamp by
 --no-warc-compression       do not compress WARC files with GZIP
 --no-warc-digests           do not calculate SHA1 digests
 --no-warc-keep-log          do not store the log file in a WARC record
 --output-document=FILE      write documents to FILE
 --output-file=FILE          log messages to FILE
 --password=PASS             set both ftp and http password to PASS
 --post-data and --post-file.
 --post-data=STRING          use the POST method; send STRING as the data
 --post-file=FILE            use the POST method; send contents of FILE
 --preferred-location        preferred location for Metalink resources
 --preserve-permissions      preserve remote file permissions
 --private-key=FILE          private key file
 --progress=TYPE             select progress gauge type
 --protocol-directories      use protocol name in directories
 --proxy-password=PASS       set PASS as proxy password
 --proxy-user=USER           set USER as proxy username
 --quiet                     quiet (no output)
 --quota=NUMBER              set retrieval quota to NUMBER
 --random-file.
 --random-file=FILE          file with random data for seeding the SSL PRNG
 --random-wait               wait from 0.5*WAIT...1.5*WAIT secs between retrievals
 --read-timeout=SECS         set the read timeout to SECS
 --recursive                 specify recursive download
 --referer=URL               include 'Referer: URL' header in HTTP request
 --regex-type=TYPE           regex type (posix)
 --reject-regex=REGEX        regex matching rejected URLs
 --reject=LIST               comma-separated list of rejected extensions
 --rejected-log=FILE         log reasons for URL rejection to FILE
 --relative                  follow relative links only
 --remote-encoding=ENC       use ENC as the default remote encoding
 --report-speed=TYPE         output bandwidth as TYPE.  TYPE can be bits
 --restrict-file-names=OS    restrict chars in file names to ones OS allows
 --retry-connrefused         retry even if connection is refused
 --save-cookies=FILE         save cookies to FILE after session
 --save-headers              save the HTTP headers to file
 --server-response           print server response
 --show-progress             display the progress bar in any verbosity mode
 --span-hosts                go to foreign hosts when recursive
 --spider                    don't download anything
 --spider.
 --start-pos and --continue is not recommended; --continue will be disabled.
 --start-pos=OFFSET          start downloading from zero-based position OFFSET
 --strict-comments           turn on strict (SGML) handling of HTML comments
 --timeout=SECONDS           set all timeout values to SECONDS
 --timestamping              don't re-retrieve files unless newer than
 --tries=NUMBER              set number of retries to NUMBER (0 unlimits)
 --trust-server-names        use the name specified by the redirection
 --unlink                    remove file before clobber
 --user-agent=AGENT          identify as AGENT instead of Wget/VERSION
 --user=USER                 set both ftp and http user to USER
 --verbose                   be verbose (this is the default)
 --version                   display the version of Wget and exit
 --wait=SECONDS              wait SECONDS between retrievals
 --waitretry=SECONDS         wait 1..SECONDS between retries of a retrieval
 --warc-cdx                  write CDX index files
 --warc-dedup=FILENAME       do not store records listed in this CDX file
 --warc-file=FILENAME        save request/response data to a .warc.gz file
 --warc-header=STRING        insert STRING into the warcinfo record
 --warc-max-size=NUMBER      set maximum size of WARC files to NUMBER
 --warc-tempdir=DIRECTORY    location for temporary files created by the
"
" --backup-converted          before converting file X, back up as X.orig"
" --backups=N                 before writing file X, rotate up to N backup files"
" --certificate-type=TYPE     client certificate type, PEM or DER"
" --continue or --start-pos, they will be disabled."
" --convert-file-only and -O if multiple URLs are given, or in combination"
" --method=HTTPMethod         use method ""HTTPMethod"" in the request"
" --no-clobber and --convert-file-only were specified, only --convert-file-only will be used."
" --no-clobber and --convert-links were specified, only --convert-links will be used."
" --no-clobber, --no-clobber will be disabled."
" --no-passive-ftp            disable the ""passive"" transfer mode"
" --no-verbose                turn off verboseness, without being quiet"
" --page-requisites           get all images, etc. needed to display HTML page"
" --pinnedpubkey=FILE/HASHES  Public key (PEM/DER) file, or any number"
" --prefer-family=FAMILY      connect first to addresses of specified family,"
" --private-key-type=TYPE     private key type, PEM or DER"
" --retr-symlinks             when recursing, get linked-to files (not dir)"
" --secure-protocol=PR        choose secure protocol, one of auto, SSLv2,"
---"
---request begin---"
---response begin---"
--> %s"
