"('http://', 'ht', '', '/developer/msbuild/2003', '/', 'developer/msbuild/2003')"
"('http://', 'ht', '', '/modules', '/', 'modules')"
"('https://', 'ht', 's', '/GhostPack/Koh', '/', 'GhostPack/Koh')"
"('https://', 'ht', 's', '/SteveSyfuhs', '/', 'SteveSyfuhs')"
"('https://', 'ht', 's', '/SteveSyfuhs/status/1545822123926597632', '/', 'SteveSyfuhs/status/1545822123926597632')"
"('https://', 'ht', 's', '/TheWover/donut', '/', 'TheWover/donut')"
"('https://', 'ht', 's', '/anthemtotheego/InlineExecute-Assembly', '/', 'anthemtotheego/InlineExecute-Assembly')"
"('https://', 'ht', 's', '/cnotin', '/', 'cnotin')"
"('https://', 'ht', 's', '/elad_shamir', '/', 'elad_shamir')"
"('https://', 'ht', 's', '/eladshamir/Internal-Monologue', '/', 'eladshamir/Internal-Monologue')"
"('https://', 'ht', 's', '/en-us/security-updates/securitybulletins/2016/ms16-111', '/', 'en-us/security-updates/securitybulletins/2016/ms16-111')"
"('https://', 'ht', 's', '/en-us/topic/microsoft-security-advisory-update-to-improve-credentials-protection-and-management-may-13-2014-93434251-04ac-b7f3-52aa-9f951c14b649', '/', 'en-us/topic/microsoft-security-advisory-update-to-improve-credentials-protection-and-management-may-13-2014-93434251-04ac-b7f3-52aa-9f951c14b649')"
"('https://', 'ht', 's', '/en-us/windows-server/security/credentials-protection-and-management/protected-users-security-group', '/', 'en-us/windows-server/security/credentials-protection-and-management/protected-users-security-group')"
"('https://', 'ht', 's', '/en-us/windows/win32/api/ntsecapi/nf-ntsecapi-lsaenumeratelogonsessions', '/', 'en-us/windows/win32/api/ntsecapi/nf-ntsecapi-lsaenumeratelogonsessions')"
"('https://', 'ht', 's', '/en-us/windows/win32/api/securitybaseapi/nf-securitybaseapi-checktokenmembership', '/', 'en-us/windows/win32/api/securitybaseapi/nf-securitybaseapi-checktokenmembership')"
"('https://', 'ht', 's', '/en-us/windows/win32/api/securitybaseapi/nf-securitybaseapi-gettokeninformation', '/', 'en-us/windows/win32/api/securitybaseapi/nf-securitybaseapi-gettokeninformation')"
"('https://', 'ht', 's', '/en-us/windows/win32/api/sspi/nf-sspi-querysecuritycontexttoken', '/', 'en-us/windows/win32/api/sspi/nf-sspi-querysecuritycontexttoken')"
"('https://', 'ht', 's', '/en-us/windows/win32/api/sspi/ns-sspi-secbufferdesc', '/', 'en-us/windows/win32/api/sspi/ns-sspi-secbufferdesc')"
"('https://', 'ht', 's', '/en-us/windows/win32/ipc/named-pipe-client', '/', 'en-us/windows/win32/ipc/named-pipe-client')"
"('https://', 'ht', 's', '/en-us/windows/win32/secauthn/acceptsecuritycontext--negotiate', '/', 'en-us/windows/win32/secauthn/acceptsecuritycontext--negotiate')"
"('https://', 'ht', 's', '/en-us/windows/win32/secauthn/acquirecredentialshandle--general', '/', 'en-us/windows/win32/secauthn/acquirecredentialshandle--general')"
"('https://', 'ht', 's', '/en-us/windows/win32/secauthn/acquirecredentialshandle--negotiate', '/', 'en-us/windows/win32/secauthn/acquirecredentialshandle--negotiate')"
"('https://', 'ht', 's', '/en-us/windows/win32/secauthn/initializesecuritycontext--negotiate', '/', 'en-us/windows/win32/secauthn/initializesecuritycontext--negotiate')"
"('https://', 'ht', 's', '/en/1.0.0', '/', 'en/1.0.0')"
"('https://', 'ht', 's', '/harmj0y', '/', 'harmj0y')"
"('https://', 'ht', 's', '/harmj0y/AcquireCredentialsHandle', '/', 'harmj0y/AcquireCredentialsHandle')"
"('https://', 'ht', 's', '/harmj0y/status/1545535785029345280', '/', 'harmj0y/status/1545535785029345280')"
"('https://', 'ht', 's', '/kb/180548', '/', 'kb/180548')"
"('https://', 'ht', 's', '/koh-the-token-stealer-41ca07a40ed6', '/', 'koh-the-token-stealer-41ca07a40ed6')"
"('https://', 'ht', 's', '/kyleavery/inject-assembly', '/', 'kyleavery/inject-assembly')"
"('https://', 'ht', 's', '/mono/linux-packaging-mono/blob/bc64aa5907f74087a6adabcff5ff79cfd2904040/external/corefx/src/System.Data.SqlClient/tests/Tools/TDS/TDS.EndPoint/SSPI/SecBuffer.cs', '/', 'mono/linux-packaging-mono/blob/bc64aa5907f74087a6adabcff5ff79cfd2904040/external/corefx/src/System.Data.SqlClient/tests/Tools/TDS/TDS.EndPoint/SSPI/SecBuffer.cs')"
"('https://', 'ht', 's', '/mono/linux-packaging-mono/blob/d356d2b7db91d62b80a61eeb6fbc70a402ac3cac/external/corefx/src/System.Data.SqlClient/tests/Tools/TDS/TDS.EndPoint/SSPI/SecBufferDesc.cs', '/', 'mono/linux-packaging-mono/blob/d356d2b7db91d62b80a61eeb6fbc70a402ac3cac/external/corefx/src/System.Data.SqlClient/tests/Tools/TDS/TDS.EndPoint/SSPI/SecBufferDesc.cs')"
"('https://', 'ht', 's', '/pages/apiexplorer/d0/d9/rmlogon_8c-source.html#l00278', '/', 'pages/apiexplorer/d0/d9/rmlogon_8c-source.html#l00278')"
"('https://', 'ht', 's', '/spec/v2.0.0.html', '/', 'spec/v2.0.0.html')"
"('https://', 'ht', 's', '/t5/ask-the-directory-services-team/using-debugging-tools-to-find-token-and-session-leaks/ba-p/400472', '/', 't5/ask-the-directory-services-team/using-debugging-tools-to-find-token-and-session-leaks/ba-p/400472')"
"('https://', 'ht', 's', '/tifkin_', '/', 'tifkin_')"
"('www.', 'ht', '', '', '', '')"
