"('0-3.', '', '-3')"
"('0.', '', '')"
"('00.', '', '')"
"('0038SKE.', '', '')"
"('05.', '', '')"
"('06.', '', '')"
"('07v.', '', '')"
"('0BH.', '', '')"
"('0C.', '', '')"
"('0F.', '', '')"
"('0I60.', '', '')"
"('0J.', '', '')"
"('0Jz.', '', '')"
"('0K.', '', '')"
"('0L5.', '', '')"
"('0N.', '', '')"
"('0Q.', '', '')"
"('0R.', '', '')"
"('0S.', '', '')"
"('0SC.', '', '')"
"('0T.', '', '')"
"('0UC.', '', '')"
"('0W.', '', '')"
"('0d.', '', '')"
"('0eH.', '', '')"
"('0h.', '', '')"
"('0j.', '', '')"
"('0k.', '', '')"
"('0ov.', '', '')"
"('0qK.', '', '')"
"('0s.', '', '')"
"('0uVw.', '', '')"
"('0v.', '', '')"
"('0x00sec.', '', '')"
"('0y.', '', '')"
"('0z.', '', '')"
"('1.', '', '')"
"('100000000000010F00000098618769B8457797DE.', '', '')"
"('10000000000001EE00000236558DCCDEDEF889DB.', '', '')"
"('10000000000001FF000000D38B0CA3916CDFDB34.', '', '')"
"('100000000000020C000001ACD076DB4BCB2D022A.', '', '')"
"('1000000000000224000000BB8BF7BC72ADF874BF.', '', '')"
"('10000000000002620000014C92BA21E1B28D886F.', '', '')"
"('1000000000000311000000FF3085EBFB3A0EADF4.', '', '')"
"('10000000000003190000015CFD9CB139E9FCFB4E.', '', '')"
"('1000000000000320000001219CE3380A56CCEC04.', '', '')"
"('100000000000032000000236F0AF4AE51A25864D.', '', '')"
"('100000000000037C00000194B3DB530880F5B1F8.', '', '')"
"('100000000000078000000438D152CB7080166AFD.', '', '')"
"('10000201000001F8000000E243B71F580D159B4A.', '', '')"
"('1000020100000CEB000009B023C6BCBF6D35A188.', '', '')"
"('1000020100000CEB000009B034AFD8B3A94FA77F.', '', '')"
"('1000020100000CEB000009B0DFDC55DC230343BB.', '', '')"
"('11m0SGco.', '', '')"
"('15.', '', '')"
"('15z.', '', '')"
"('18A.', '', '')"
"('19.', '', '')"
"('1Af.', '', '')"
"('1K3QV.', '', '')"
"('1My.', '', '')"
"('1N.', '', '')"
"('1N4.', '', '')"
"('1Q.', '', '')"
"('1R.', '', '')"
"('1S.', '', '')"
"('1T.', '', '')"
"('1V.', '', '')"
"('1W.', '', '')"
