"(""$4/\x14'\x1dRZ&%\x7f\x089\x7fU:5MSXv\x1cU=mf\x03R"", '')"
"(""1n'5"", '')"
"("";#JgD[2/@D)\x0f'kX>%\\"", '')"
"(""<mLML,\x1d\x039\x04<)rNik2z$\x13/o\x1flcmea9^'[F'\x0fw"", '')"
"(""@59.\x18@'\x00s"", '')"
"(""W\x00e\x15'"", '')"
"(""\x00\u0605#z{\x0eUEO:XhF`qk9\x19\x0f~58\x00-z'sN\x7f\x08y?YzR]."", '')"
"(""\x10\x7f\x08'kO6%\x1d"", '')"
"(""^\x07T'"", '')"
"(""xQE\x11\x07\x0fgX'\x06\x06N%25;(91"", '')"
"('&\x1a\x057', '')"
"('(ip|<c1', '')"
"('*?Z', '')"
"('*o\x16@\x08$Gn', '')"
"(',wK|hz}QeX\x198$\x06?^KVr\x7ff\x17)', '')"
"('/backdrop/screen0/monitor0/workspace0/last-image', '')"
"('/backdrop/screen0/monitor1/workspace0/last-image', '')"
"('4c\x00\x1f\x07\x029p\x01|!_\x02A', '')"
"('6I,\x06lBs\x1dx\x13', '')"
"('7', '')"
"('9\x15Z\x15\u0383\x02\x18OqALc\x03s1@B\x0f\x1a0*+a\x1d5\x11\\\x13', '')"
"(';$s~uZv9\x1c:?\x1d\x1f\x7fRx#S\x08', '')"
"('<\x12\x19$', '')"
"('?k9,45<D8;\x14', '')"
"('B$+BJ+\x10UF\x1a/', '')"
"('F\x1eCt\x06u\x104', '')"
"('H\x07+pZ\x00%A4uD7\x1baB\x14n', '')"
"('Hy\x07\x1a', '')"
"('I', '')"
"('I?=a+\x169', '')"
"('ID\x14wLn', '')"
"('IZE\x0e\x1b<', '')"
"('J', '')"
"('M^\x92\U000813b7aWjf1j\x0f&j', '')"
"('O/\x0fs3\x7fr\x10^5\x1dgA-SM\x19H\x10\x00w\x10`\x00M', '')"
"('Ox\x1b}\x1fxT\x101S\x1fE.\x18', '')"
"('T>\x0eL\x10\x18Np', '')"
"('VF*Ocr\x1f', '')"
"('W$', '')"
"('X\\F\x11J', '')"
"('\\4UE', '')"
"('\u07bf&c\x01R\x1dR_4+k{', '')"
"('\x02?v<\x13', '')"
"('\x03\x1b\x08\x03Dx+Bx\x076\x9b', '')"
"('\x04\x1c8_Z\\E\x1a>', '')"
"('\x08}\\\x15\x12CV', '')"
"('\x0e\x04$\x16@?ic1y*2]\x04DFQ', '')"
"('\x0fK+/v\x17\x0fS}\x07l\x16-83*\x15', '')"
"('\x0f\x06{L\x04\x01\x02\x04j`', '')"
"('\x10-*\x14|\u07b5\x14A\x05\x1d', '')"
"('\x105d|\x11\x18-vMP}/\x1f\x1ddg', '')"
"('\x107', '')"
"('\x12', '')"
"('\x15@', '')"
"('\x16soS\\\x0f', '')"
"('\x17@\x0f@:3r\x1f\x15(T(\x19\x040D', '')"
"('\x19\x00\x0f\x1b|69', '')"
"('\x19s', '')"
"('\x1ab', '')"
"('\x1b}', '')"
"('\x1c>NUH0*@D#roE>>bu>\x12\x1c', '')"
"('\x1c\x02)0\x01\x03', '')"
"('\x1c\x0fh%', '')"
"('\x1d6zB\x13', '')"
"('\x1e5B~\x14^', '')"
"('\x1fN%a|o@\x7f\x13E', '')"
"('\x949g*Y\x1c', '')"
"('_ILBT$*\x08I6?/*z\x18', '')"
"('_\x0f=0=5^:4t[k', '')"
"('`', '')"
"('a\x7f\x04w61\x125', '')"
"('c', '')"
"('cC', '')"
"('d\x04&\\3N\x138', '')"
"('e', '')"
"('i7rB\x1ea', '')"
"('i{', '')"
"('k(\x04', '')"
"('kBL{sy\x1cqb', '')"
"('n>', '')"
"('p', '')"
"('p(p$p,p', '')"
"('q\x05Wl', '')"
"('s', '')"
"('sN\x05\x062p\x18Jz>\x1fwm\x1aX4sm^', '')"
"('sTSg0\x19V2E99tRL6k\x00\x14_}2A7(t}', '')"
"('s\x0e$V#y\x04', '')"
"('v!\x07\x03y`\x14,.1[m\x1e?\x18BN\x18RT\x11*\x1f;B#_\x10S\x0fM7<f&r\x1e\x11)\x055r)j3*RCI?', '')"
"('z/\u05f7\x07', '')"
"('|', '')"
"('|/uvb;\x10zEml#5c5', '')"
"('~\x1f~6f\U0004ff6ee\x07`O}gQP!', '')"
