"('', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '0', '', '0', '', '', '', '')"
"('', '', '', '', '', '00', '', '00', '', '', '', '')"
"('', '', '', '', '', '006', '', '006', '', '', '', '')"
"('', '', '', '', '', '008', '', '008', '', '', '', '')"
"('', '', '', '', '', '01', '', '01', '', '', '', '')"
"('', '', '', '', '', '02', '', '02', '', '', '', '')"
"('', '', '', '', '', '029', '', '029', '', '', '', '')"
"('', '', '', '', '', '02C0', '', '02C0', '', '', '', '')"
"('', '', '', '', '', '03', '', '03', '', '', '', '')"
"('', '', '', '', '', '04', '', '04', '', '', '', '')"
"('', '', '', '', '', '045', '', '045', '', '', '', '')"
"('', '', '', '', '', '05', '', '05', '', '', '', '')"
"('', '', '', '', '', '055', '', '055', '', '', '', '')"
"('', '', '', '', '', '07', '', '07', '', '', '', '')"
"('', '', '', '', '', '07a', '', '07a', '', '', '', '')"
"('', '', '', '', '', '08', '', '08', '', '', '', '')"
"('', '', '', '', '', '09', '', '09', '', '', '', '')"
"('', '', '', '', '', '09B', '', '09B', '', '', '', '')"
"('', '', '', '', '', '0A', '', '0A', '', '', '', '')"
"('', '', '', '', '', '0B', '', '0B', '', '', '', '')"
"('', '', '', '', '', '0C', '', '0C', '', '', '', '')"
"('', '', '', '', '', '0Cf', '', '0Cf', '', '', '', '')"
"('', '', '', '', '', '0D', '', '0D', '', '', '', '')"
"('', '', '', '', '', '0D3', '', '0D3', '', '', '', '')"
"('', '', '', '', '', '0E', '', '0E', '', '', '', '')"
"('', '', '', '', '', '0F', '', '0F', '', '', '', '')"
"('', '', '', '', '', '0a', '', '0a', '', '', '', '')"
"('', '', '', '', '', '0aD', '', '0aD', '', '', '', '')"
"('', '', '', '', '', '0b', '', '0b', '', '', '', '')"
"('', '', '', '', '', '0c', '', '0c', '', '', '', '')"
"('', '', '', '', '', '0d', '', '0d', '', '', '', '')"
"('', '', '', '', '', '0f', '', '0f', '', '', '', '')"
"('', '', '', '', '', '1', '', '1', '', '', '', '')"
"('', '', '', '', '', '10', '', '10', '', '', '', '')"
"('', '', '', '', '', '11', '', '11', '', '', '', '')"
