"('http://', 'ht', '', '', '', '')"
"('https://', 'ht', 's', '/2017/07/18/gonnacry-linux-ransomware', '/', '2017/07/18/gonnacry-linux-ransomware')"
"('https://', 'ht', 's', '/3/tutorial/datastructures.html', '/', '3/tutorial/datastructures.html')"
"('https://', 'ht', 's', '/3/whatsnew/3.6.html', '/', '3/whatsnew/3.6.html')"
"('https://', 'ht', 's', '/@tarcisioma/how-can-a-malware-encrypt-a-company-existence-c7ed584f66b3', '/', '@tarcisioma/how-can-a-malware-encrypt-a-company-existence-c7ed584f66b3')"
"('https://', 'ht', 's', '/@tarcisioma/how-ransomware-works-and-gonnacry-linux-ransomware-17f77a549114', '/', '@tarcisioma/how-ransomware-works-and-gonnacry-linux-ransomware-17f77a549114')"
"('https://', 'ht', 's', '/@tarcisioma/ransomware-encryption-techniques-696531d07bb9', '/', '@tarcisioma/ransomware-encryption-techniques-696531d07bb9')"
"('https://', 'ht', 's', '/@tarcisiomarinho/ransomware-encryption-techniques-696531d07bb9', '/', '@tarcisiomarinho/ransomware-encryption-techniques-696531d07bb9')"
"('https://', 'ht', 's', '/badge/made%20with-%3C3-red.svg', '/', 'badge/made%20with-%3C3-red.svg')"
"('https://', 'ht', 's', '/cran/l/devtools.svg', '/', 'cran/l/devtools.svg')"
"('https://', 'ht', 's', '/fwlink/?linkid=830387', '/', 'fwlink/?linkid=830387')"
"('https://', 'ht', 's', '/github/gitignore/blob/master/VisualStudio.gitignore', '/', 'github/gitignore/blob/master/VisualStudio.gitignore')"
"('https://', 'ht', 's', '/github/gitignore/pull/1529#issuecomment-104372622', '/', 'github/gitignore/pull/1529#issuecomment-104372622')"
"('https://', 'ht', 's', '/github/gitignore/pull/2483#issue-259490424', '/', 'github/gitignore/pull/2483#issue-259490424')"
"('https://', 'ht', 's', '/github/stars/tarcisio-marinho/GonnaCry.svg', '/', 'github/stars/tarcisio-marinho/GonnaCry.svg')"
"('https://', 'ht', 's', '/t/how-ransomware-works-and-gonnacry-linux-ransomware/4594', '/', 't/how-ransomware-works-and-gonnacry-linux-ransomware/4594')"
"('https://', 'ht', 's', '/tarcisio-marinho', '/', 'tarcisio-marinho')"
"('https://', 'ht', 's', '/tarcisio-marinho/GonnaCry', '/', 'tarcisio-marinho/GonnaCry')"
"('https://', 'ht', 's', '/tarcisio-marinho/GonnaCry/blob/master/LICENSE', '/', 'tarcisio-marinho/GonnaCry/blob/master/LICENSE')"
"('https://', 'ht', 's', '/tarcisio-marinho/GonnaCry/stargazers', '/', 'tarcisio-marinho/GonnaCry/stargazers')"
"('https://', 'ht', 's', '/travis/rust-lang/rust/master.svg', '/', 'travis/rust-lang/rust/master.svg')"
"('www.', '', '', '', '', '')"
"('www.', 'ht', 's', '/?templates=dotnetcore', '/', '?templates=dotnetcore')"
"('www.', 'ht', 's', '/OneDayUmay1', '/', 'OneDayUmay1')"
"('www.', 'ht', 's', '/api/dotnetcore', '/', 'api/dotnetcore')"
"('www.', 'ht', 's', '/blog/sentinelone-detects-prevents-wsl-abuse', '/', 'blog/sentinelone-detects-prevents-wsl-abuse')"
"('www.', 'ht', 's', '/groups/python.brasil/?fref=nf', '/', 'groups/python.brasil/?fref=nf')"
"('www.', 'ht', 's', '/watch?v=gSfa2L158Uw', '/', 'watch?v=gSfa2L158Uw')"
