"('CmRcViewer.', '', '')"
"('Collections.', '', '')"
"('Console.', '', '')"
"('ManagementStatus.', '', '')"
"('Microsoft.', '', '')"
"('Runtime.', '', '')"
"('SCCMVNC.', '', '')"
"('String.', '', '')"
"('StringComparison.', '', '')"
"('StringSplitOptions.', '', '')"
"('System.', '', '')"
"('csc.', '', '')"
"('e.', '', '')"
"('ex.', '', '')"
"('input.', '', '')"
"('mObject.', '', '')"
"('message.', '', '')"
"('netero1010-securitylab.', '', '-securitylab')"
"('output.', '', '')"
"('processedArgs.', '', '')"
"('scope.', '', '')"
"('searcher.', '', '')"
"('string.', '', '')"
"('viewer.', '', '')"
