"(""[Parameter(Mandatory = $False, ParameterSetName='ObjectGuidLookup')]\n        [Guid]\n        $ObjectType"", 'Guid', 'ObjectType', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(Mandatory = $true, ValueFromPipelineByPropertyName = $true, ParameterSetName = 'CreateVariables')]\n        [switch]$CreateVariables"", 'switch', 'CreateVariables', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ParameterSetName = 'API')]\n        [Switch]\n        $API"", 'Switch', 'API', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ParameterSetName = 'Disabled')]\n        [Switch]\n        $Disabled"", 'Switch', 'Disabled', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ParameterSetName = 'DisallowDelegation')]\n        [Switch]\n        $DisallowDelegation"", 'Switch', 'DisallowDelegation', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ParameterSetName = 'Enabled')]\n        [Switch]\n        $Enabled"", 'Switch', 'Enabled', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ParameterSetName = 'FileSpecification')]\n        [Switch]\n        $ExcludeFolders"", 'Switch', 'ExcludeFolders', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ParameterSetName = 'FileSpecification')]\n        [Switch]\n        $ExcludeHidden"", 'Switch', 'ExcludeHidden', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ParameterSetName = 'FreshEXEs')]\n        [Switch]\n        $FreshEXEs"", 'Switch', 'FreshEXEs', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ParameterSetName = 'LDAP')]\n        [Switch]\n        $Tombstone"", 'Switch', 'Tombstone', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ParameterSetName = 'ManualRecurse')]\n        [Switch]\n        $Recurse"", 'Switch', 'Recurse', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ParameterSetName = 'NET')]\n        [Switch]\n        $NET"", 'Switch', 'NET', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ParameterSetName = 'OfficeDocs')]\n        [Switch]\n        $OfficeDocs"", 'Switch', 'OfficeDocs', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ParameterSetName = 'RecurseUsingMatchingRule')]\n        [Switch]\n        $RecurseUsingMatchingRule"", 'Switch', 'RecurseUsingMatchingRule', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
