"{ $Filter += ""(&$AttrFilter)"" "
"{ $Filter += ""(|$AttrFilter)"" "
"{ $Result += ""Certificate Request Agent"" "
"{ $Result += ""Client Authentication"" "
"{ $Result += ""Code Signing"" "
"{ $Result += ""Document Encryption"" "
"{ $Result += ""Document Signing"" "
"{ $Result += ""Encrypting File System"" "
"{ $Result += ""File Recovery"" "
"{ $Result += ""IP Security End System"" "
"{ $Result += ""IP Security Tunnel Endpoint"" "
"{ $Result += ""IP Security User"" "
"{ $Result += ""KDC Authentication"" "
"{ $Result += ""Key Recovery"" "
"{ $Result += ""Lifetime Signing"" "
"{ $Result += ""Microsoft Trust List Signing"" "
"{ $Result += ""OCSP Signing"" "
"{ $Result += ""Private Key Archival"" "
"{ $Result += ""Qualified Subordination"" "
"{ $Result += ""Remote Desktop Authentication"" "
"{ $Result += ""Root List Signer"" "
"{ $Result += ""SSH Client"" "
"{ $Result += ""SSH Server"" "
"{ $Result += ""Secure E-mail"" "
"{ $Result += ""Server Authentication"" "
"{ $Result += ""Smartcard Logon"" "
"{ $Result += ""Time Stamping"" "
"{ $_.Split(',') "
"{ '1131f6aa-9c07-11d1-f79f-00c04fc2dcd2', '1131f6ad-9c07-11d1-f79f-00c04fc2dcd2', '89e95b76-444d-4c62-991a-0facbeda640c'"
"{ 'GptTmplPath' = ""$GPOPath\MACHINE\Microsoft\Windows NT\SecEdit\GptTmpl.inf"" "
"{ (New-Object System.Security.Principal.SecurityIdentifier($_, 0)).Value "
"{ -not (($_.SecurityIdentifier.value -like ""*-512"") -or ($_.SecurityIdentifier.value -like ""*-519"") -or ($_.SecurityIdentifier.value -like ""*-516"") -or ($_.SecurityIdentifier.value -like ""*-500"") -or ($_.SecurityIdentifier.value -like ""*-498"") -or ($_.SecurityIdentifier.value -eq ""S-1-5-9"") -or ($_.SecurityIdentifier.value -eq ""S-1-5-11"") -or ($_.SecurityIdentifier.value -like ""*-513"") -or ($_.SecurityIdentifier.value -like ""*-515"") -or ($_.SecurityIdentifier.value -like ""*-553"")) "
"{ -not (($_.SecurityIdentifier.value -like ""*-512"") -or ($_.SecurityIdentifier.value -like ""*-519"") -or ($_.SecurityIdentifier.value -like ""*-516"") -or ($_.SecurityIdentifier.value -like ""*-500"") -or ($_.SecurityIdentifier.value -like ""*-498"") -or ($_.SecurityIdentifier.value -eq ""S-1-5-9"")) "
"{ @('1131f6aa-9c07-11d1-f79f-00c04fc2dcd2', '1131f6ad-9c07-11d1-f79f-00c04fc2dcd2', 'GenericAll', 'ExtendedRight') "
"{ @('ExtendedRight', 'GenericAll', 'WriteDacl') "
"{$Cpassword = $Cpassword.Substring(0,$Cpassword.Length -1)"
"{$Object_GPP.username = $($Object_GPP.Domain) + ""\"" + $($Object_GPP.username)"
"{$Value = ""[!] $Value"""
"{$Value = ""[*] $Value"""
"{$Value = ""[+] $Value"""
"{$Value = $ANSI_Table[""Blue""]+$Value+$ANSI_Table[""Reset""]"
"{$Value = $ANSI_Table[""Green""]+$Value+$ANSI_Table[""Reset""]"
"{$Value = $ANSI_Table[""LightGrey""]+$Value+$ANSI_Table[""Reset""]"
"{$Value = $ANSI_Table[""Red""]+$Value+$ANSI_Table[""Reset""]"
"{$Value = $ANSI_Table[""RedYellow""]+$Value+$ANSI_Table[""Reset""]"
"{$Value = $ANSI_Table[""Yellow""]+$Value+$ANSI_Table[""Reset""]"
"{$Value =""[#] $Value"""
"{$YearSpelling = ""year"""
"{$YearSpelling = ""years"""
"{$_ -match ""help"" -or $_ -match ""version"""
"{$_.ActiveDirectoryRights -match ""Write"" -and $_.AccessControlType -eq ""Allow"" -and  $Exclusions -notcontains $_.IdentityReference.toString().split(""\"")[1] -and $_.IdentityReference -ne ""CREATOR OWNER"""
"{$_.ToString('X').PadLeft(2,'0')"
"{$_.Type -eq ""1.2.840.113556.1.4.319"""
"{$_; ""NOT_$_"""
"{'Name'=""$DFSroot$ShareName"";'RemoteServerName'=$Target.split('\')[2]"
"{(New-Object System.Security.Principal.SecurityIdentifier($_.objectsid[0],0)).Value -eq $ObjectSID"
"{(New-Object System.Security.Principal.SecurityIdentifier($_.objectsid[0],0)).Value -eq $PrincipalSID"
"{){0,1"
"{0,1"
"{1,3"
"{1,4"
"{2013-07-02 05:43:21, 2014-02-21 03:33:07, 2014-02-21 03:33:48"
"{2014-02-21 05:29:53, 2014-02-21 05:29:52"
"{2014-02-21 05:30:14, 2014-02-21 05:30:36"
"{3,"
"{Administrator (built-in), DummyAccount, dummy2"
"{DEMO\Administrator, admin"
"{Recycling*3ftw!, password123, password1234"
"{administrator, admin"
"{password, password1234$"
"{password, read123"
"{top, group"
"{}, XORs any values from -XOR @{"
{  
{ $ACLArguments['Credential'] = $Credential 
{ $ACLArguments['LDAPFilter'] = $LDAPFilter 
{ $ACLArguments['ResolveGUIDs'] = $ResolveGUIDs 
{ $ACLArguments['ResultPageSize'] = $ResultPageSize 
{ $ACLArguments['RightsFilter'] = $RightsFilter 
{ $ACLArguments['SearchBase'] = $SearchBase 
{ $ACLArguments['SearchScope'] = $SearchScope 
{ $ACLArguments['Server'] = $Server 
{ $ACLArguments['ServerTimeLimit'] = $ServerTimeLimit 
{ $ACLArguments['Tombstone'] = $Tombstone 
{ $ADNameArguments['Credential'] = $Credential 
{ $ADNameArguments['Domain'] = $Domain 
{ $ADNameArguments['Server'] = $Server 
{ $AccessMask[$_] 
{ $Arguments['Credential'] = $Credential 
{ $Arguments['Domain'] = $Domain 
{ $Arguments['Forest'] = $Forest 
{ $Arguments['SSL'] = $SSL 
{ $Arguments['Server'] = $Server 
{ $CSVWriter.WriteLine($_) 
{ $Cert 
{ $CommonArguments['Credential'] = $Credential 
{ $CommonArguments['Domain'] = $Domain 
{ $CommonArguments['ResultPageSize'] = $ResultPageSize 
{ $CommonArguments['SearchScope'] = $SearchScope 
{ $CommonArguments['Server'] = $Server 
{ $CommonArguments['ServerTimeLimit'] = $ServerTimeLimit 
{ $CommonArguments['Tombstone'] = $Tombstone 
{ $CommonParameters -notcontains $_ 
{ $ComputerSearcherArguments['Credential'] = $Credential 
{ $ComputerSearcherArguments['Domain'] = $ComputerDomain 
{ $ComputerSearcherArguments['Domain'] = $Domain 
{ $ComputerSearcherArguments['LDAPFilter'] = $ComputerLDAPFilter 
{ $ComputerSearcherArguments['OperatingSystem'] = $OperatingSystem 
{ $ComputerSearcherArguments['ResultPageSize'] = $ResultPageSize 
{ $ComputerSearcherArguments['SearchBase'] = $ComputerSearchBase 
{ $ComputerSearcherArguments['SearchScope'] = $SearchScope 
{ $ComputerSearcherArguments['Server'] = $Server 
{ $ComputerSearcherArguments['ServerTimeLimit'] = $ServerTimeLimit 
{ $ComputerSearcherArguments['ServicePack'] = $ServicePack 
{ $ComputerSearcherArguments['SiteName'] = $SiteName 
{ $ComputerSearcherArguments['Tombstone'] = $Tombstone 
{ $ComputerSearcherArguments['Unconstrained'] = $Unconstrained 
{ $ContextArguments['Credential'] = $Credential 
{ $ContextArguments['Domain'] = $Domain 
{ $ConvertArguments['Credential'] = $Credential 
{ $ConvertArguments['Domain'] = $Domain 
{ $ConvertArguments['Server'] = $Server 
{ $ConvertToArguments['Domain'] = $Domain 
{ $DCSearcherArguments['Credential'] = $Credential 
{ $DCSearcherArguments['Domain'] = $ComputerDomain 
{ $DCSearcherArguments['Domain'] = $Domain 
{ $DCSearcherArguments['Server'] = $Server 
{ $DNArguments['Credential'] = $Credential 
{ $DNArguments['Domain'] = $Domain 
{ $DNArguments['Obfuscate'] = $Obfuscate 
{ $DNArguments['SSL'] = $SSL 
{ $DNArguments['Server'] = $Server 
{ $DNSearcherArguments['Domain'] = $Domain 
{ $DNSearcherArguments['SSL'] = $SSL 
{ $DNSearcherArguments['Server'] = $Server 
{ $DomainControllers = @($DomainControllers) 
{ $DomainDNArguments['Credential'] = $Credential 
{ $DomainDNArguments['Domain'] = $Domain 
{ $DomainDNArguments['SSL'] = $SSL 
{ $DomainDNArguments['Server'] = $Server 
{ $DomainGUIDMapArguments['Credential'] = $Credential 
{ $DomainGUIDMapArguments['Domain'] = $Domain 
