"('ASP.', '', '')"
"('Advapi32.', '', '')"
"('AutoTest.', '', '')"
"('BenchmarkDotNet.', '', '')"
"('ChromeStealer.', '', '')"
"('Cpp.', '', '')"
"('Crypt32.', '', '')"
"('DataInput.', '', '')"
"('DataOutput.', '', '')"
"('Default.', '', '')"
"('DotSettings.', '', '')"
"('FodyWeavers.', '', '')"
"('GhostDoc.', '', '')"
"('Microsoft.', '', '')"
"('ModelManifest.', '', '')"
"('Node.', '', '')"
"('ScaffoldingReadMe.', '', '')"
"('Shell32.', '', '')"
"('StoreAssociation.', '', '')"
"('StyleCopReport.', '', '')"
"('TestResult.', '', '')"
"('VC.', '', '')"
"('VisualState.', '', '')"
"('VisualStudio.', '', '')"
"('ackup.', '', '')"
"('bim.', '', '')"
"('btm.', '', '')"
"('btp.', '', '')"
"('build.', '', '')"
"('chrome.', '', '')"
"('codegen.', '', '')"
"('copyLoginDataPath.', '', '')"
"('dbproj.', '', '')"
"('decodedBinaryData.', '', '')"
"('decryptionKey.', '', '')"
"('extensions.', '', '')"
"('file.', '', '')"
"('gitbook.', '', '')"
"('github.', '', '')"
"('index.', '', '')"
"('itEncryptedKey.', '', '')"
"('itOsEncrypt.', '', '')"
"('json.', '', '')"
"('launch.', '', '')"
"('local.', '', '')"
"('localState.', '', '')"
"('lock.', '', '')"
"('medium.', '', '')"
"('microsoft.', '', '')"
"('nuget.', '', '')"
"('odx.', '', '')"
"('packages.', '', '')"
"('paket.', '', '')"
"('project.', '', '')"
"('rdl.', '', '')"
"('repositories.', '', '')"
"('rptproj.', '', '')"
"('settings.', '', '')"
"('sln.', '', '')"
"('sqlite.', '', '')"
"('tasks.', '', '')"
"('ublish.', '', '')"
"('user.', '', '')"
"('vcpkg.', '', '')"
"('x.', '', '')"
"('x64.', '', '')"
"('x86.', '', '')"
"('xsd.', '', '')"
