"('http://', 'ht', '', '/developer/msbuild/2003', '/', 'developer/msbuild/2003')"
"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '//2024/chrome-stealer', '/', '/2024/chrome-stealer')"
"('https://', 'ht', 's', '/BernKing', '/', 'BernKing')"
"('https://', 'ht', 's', '/BernKing/ChromeStealer.git', '/', 'BernKing/ChromeStealer.git')"
"('https://', 'ht', 's', '/bernKing20', '/', 'bernKing20')"
"('https://', 'ht', 's', '/doc', '/', 'doc')"
"('https://', 'ht', 's', '/github/gitignore/blob/main/VisualStudio.gitignore', '/', 'github/gitignore/blob/main/VisualStudio.gitignore')"
"('https://', 'ht', 's', '/github/gitignore/pull/1529#issuecomment-104372622', '/', 'github/gitignore/pull/1529#issuecomment-104372622')"
"('https://', 'ht', 's', '/github/gitignore/pull/2483#issue-259490424', '/', 'github/gitignore/pull/2483#issue-259490424')"
"('https://', 'ht', 's', '/how-to-hack-chrome-password-with-python-1bedc167be3d', '/', 'how-to-hack-chrome-password-with-python-1bedc167be3d')"
"('https://', 'ht', 's', '/nlohmann/json', '/', 'nlohmann/json')"
"('www.', 'ht', 's', '/index.html', '/', 'index.html')"
