"('', '', '', '', '', '', ' Configuration\n$script', '', 'Configuration', 'script', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' DarkGray\n                    $searchPaths', '', 'DarkGray', 'searchPaths', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Green\n        $results', '', 'Green', 'results', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Mode\n    $verboseChoice', '', 'Mode', 'verboseChoice', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Red\n                    $results', '', 'Red', 'results', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' directories\n    $env', '', 'directories', 'env', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' directories\n    $searchPaths', '', 'directories', 'searchPaths', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' directory\n    $searchPaths', '', 'directory', 'searchPaths', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' flag\n$script', '', 'flag', 'script', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' for $dllName', '', 'for', 'dllName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $modules', '', 'in', 'modules', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $processes', '', 'in', 'processes', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $script', '', 'in', 'script', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $searchPaths', '', 'in', 'searchPaths', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' option\n        $exportChoice', '', 'option', 'exportChoice', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' processes\n    $results', '', 'processes', 'results', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param([System.Diagnostics.Process]$Process)', '[System.Diagnostics.Process]$Process', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param([string]$Path)', '[string]$Path', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param(\n        [string]$Message,\n        [string]$Type = ""INFO"",\n        [ConsoleColor]$Color = ""White""\n    )', '[string]$Message,\n        [string]$Type = ""INFO"",\n        [ConsoleColor]$Color = ""White""\n    ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param(\n        [string]$ProcessPath,\n        [string]$DllName\n    )', '[string]$ProcessPath,\n        [string]$DllName\n    ', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'CustomSearchPath $path', '', 'CustomSearchPath', 'path', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'DLLScan_$timestamp', '', 'DLLScan_', 'timestamp', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'DllName $dllName', '', 'DllName', 'dllName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ForegroundColor $Color', '', 'ForegroundColor', 'Color', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Parent $ProcessPath', '', 'Parent', 'ProcessPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $Path', '', 'Path', 'Path', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $_', '', 'Path', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $csvPath', '', 'Path', 'csvPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $desktopLocation', '', 'Path', 'desktopLocation', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $env', '', 'Path', 'env', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $path', '', 'Path', 'path', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $processDir', '', 'Path', 'processDir', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Process $process', '', 'Process', 'process', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Process.MainModule.FileName\n        $modules', '', 'Process.MainModule.FileName', 'modules', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ProcessPath $processPath', '', 'ProcessPath', 'processPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SystemRoot $DllName', '', 'SystemRoot', 'DllName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Type] $Message', '', 'Type', 'Message', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n    \n    return $results', '', 'return', 'results', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n    \n    return $searchPaths', '', 'return', 'searchPaths', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'module.ModuleName\n                $searchPaths', '', 'module.ModuleName', 'searchPaths', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'not $found', '', 'not', 'found', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'not $script', '', 'not', 'script', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'notcontains $_', '', 'notcontains', '_', '', '', '', '', '', '', '', '')"
