"('Diagnostics.', '', '')"
"('Exception.', '', '')"
"('MainModule.', '', '')"
"('Process.', '', '')"
"('advapi32.', '', '')"
"('csrss.', '', '')"
"('dwm.', '', '')"
"('explorer.', '', '')"
"('gdi32.', '', '')"
"('kernel32.', '', '')"
"('lsass.', '', '')"
"('module.', '', '')"
"('msvcrt.', '', '')"
"('ntdll.', '', '')"
"('ole32.', '', '')"
"('oleaut32.', '', '')"
"('results.', '', '')"
"('services.', '', '')"
"('shell32.', '', '')"
"('spoolsv.', '', '')"
"('svchost.', '', '')"
"('taskhostw.', '', '')"
"('timestamp.', '', '')"
"('user32.', '', '')"
"('wininit.', '', '')"
"('winlogon.', '', '')"
