"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '/90931373-6ad6-49cb-9d8c-22eebb6968fa', '/', '90931373-6ad6-49cb-9d8c-22eebb6968fa')"
"('https://', 'ht', 's', '/c/LICENSE', '/', 'c/LICENSE')"
"('https://', 'ht', 's', '/common/oauth2/deviceauth', '/', 'common/oauth2/deviceauth')"
"('https://', 'ht', 's', '/common/oauth2/devicecode?api-version=1.0', '/', 'common/oauth2/devicecode?api-version=1.0')"
"('https://', 'ht', 's', '/common/oauth2/token?api-version=1.0', '/', 'common/oauth2/token?api-version=1.0')"
"('https://', 'ht', 's', '/dafthack', '/', 'dafthack')"
"('https://', 'ht', 's', '/dafthack/GraphRunner', '/', 'dafthack/GraphRunner')"
"('https://', 'ht', 's', '/devicelogin', '/', 'devicelogin')"
"('https://', 'ht', 's', '/f-bader/TokenTacticsV2', '/', 'f-bader/TokenTacticsV2')"
"('https://', 'ht', 's', '/rvrsh3ll', '/', 'rvrsh3ll')"
