"('AccessAsUser.', '', '')"
"('By.', '', '')"
"('Calendar.', '', '')"
"('Calendars.', '', '')"
"('Contacts.', '', '')"
"('DataLossPreventionPolicy.', '', '')"
"('Files.', '', '')"
"('InformationProtectionPolicy.', '', '')"
"('Keys.', '', '')"
"('Mail.', '', '')"
"('Notes.', '', '')"
"('People.', '', '')"
"('PrintJob.', '', '')"
"('Read.', '', '')"
"('ReadBasic.', '', '')"
"('ReadWrite.', '', '')"
"('SensitiveInfoType.', '', '')"
"('SensitivityLabel.', '', '')"
"('Tasks.', '', '')"
"('TeamsTab.', '', '')"
"('User.', '', '')"
"('Users.', '', '')"
"('button.', '', '')"
"('common.', '', '')"
"('datetime.', '', '')"
"('details.', '', '')"
"('domain.', '', '')"
"('driver.', '', '')"
"('exceptions.', '', '')"
"('getpass.', '', '')"
"('github.', '', '')"
"('json.', '', '')"
"('m365-fatigue.', '', '-fatigue')"
"('microsoft.', '', '')"
"('microsoftonline.', '', '')"
"('openai.', '', '')"
"('requests.', '', '')"
"('requirements.', '', '')"
"('response.', '', '')"
"('support.', '', '')"
"('sys.', '', '')"
"('time.', '', '')"
"('webdriver.', '', '')"
"('windows.', '', '')"
