"('1.', '', '')"
"('16.', '', '')"
"('3.', '', '')"
"('4.', '', '')"
"('5.', '', '')"
"('6.', '', '')"
"('8.', '', '')"
"('80a289e6b86740a9b3075bfb106871e1.', '', '')"
"('9.', '', '')"
"('ASP.', '', '')"
"('Actions.', '', '')"
"('AssemblyBinaryProperties.', '', '')"
"('AssemblyExports.', '', '')"
"('AssemblyInfo.', '', '')"
"('AssemblyLoadingRedirection.', '', '')"
"('AssemblyPayload.', '', '')"
"('AutoTest.', '', '')"
"('BenchmarkDotNet.', '', '')"
"('Build.', '', '')"
"('CD.', '', '')"
"('CSharp.', '', '')"
"('Cecil.', '', '')"
"('Class1.', '', '')"
"('ClassDeclarationParserAction.', '', '')"
"('ClassParserAction.', '', '')"
"('CodeDom.', '', '')"
"('Collections.', '', '')"
"('ComUtils.', '', '')"
"('Common.', '', '')"
"('ComponentModel.', '', '')"
"('Configuration.', '', '')"
"('Cpp.', '', '')"
"('Csozx.', '', '')"
"('DCOMUploadExec.', '', '')"
"('Data.', '', '')"
"('Default.', '', '')"
"('DeleteExportAttributeParserAction.', '', '')"
"('Designer.', '', '')"
"('Diagnostics.', '', '')"
"('Directory.', '', '')"
"('DllExport.', '', '')"
"('DllExportAppDomainIsolatedTask.', '', '')"
"('DllExportAttribute.', '', '')"
"('DllExportLogginCodes.', '', '')"
"('DllExportNotifier.', '', '')"
"('DllExportNotifierWrapper.', '', '')"
"('DllExportServiceProviderExtensions.', '', '')"
"('DllExportTask.', '', '')"
"('DllExportWeaver.', '', '')"
"('DotSettings.', '', '')"
"('DuplicateExports.', '', '')"
"('Evaluation.', '', '')"
"('ExportAssemblyInspector.', '', '')"
"('ExportInfo.', '', '')"
"('ExportTaskImplementation.', '', '')"
"('ExportedClass.', '', '')"
"('ExportedMethod.', '', '')"
"('ExternalAssemlyDeclaration.', '', '')"
"('FC.', '', '')"
"('FodyWeavers.', '', '')"
"('Formatters.', '', '')"
"('Generic.', '', '')"
"('GenericDisposable.', '', '')"
"('GhostDoc.', '', '')"
"('GlobalProjectCollection.', '', '')"
"('HasServiceProvider.', '', '')"
"('I.', '', '')"
"('ICollection.', '', '')"
"('IDisposable.', '', '')"
"('IDllExportNotifier.', '', '')"
"('IDllExportTask.', '', '')"
"('IEnumerable.', '', '')"
"('IEnumerator.', '', '')"
"('IGenericContext.', '', '')"
"('IGenericParameterProvider.', '', '')"
"('ILAsm.', '', '')"
"('ILDasm.', '', '')"
"('IList.', '', '')"
"('IO.', '', '')"
"('IServiceContainer.', '', '')"
"('IServiceProvider.', '', '')"
"('IlParser.', '', '')"
"('IlParsingUtils.', '', '')"
"('IlToolBase.', '', '')"
"('InputValuesCore.', '', '')"
"('IntPtr.', '', '')"
"('Linq.', '', '')"
"('M-7Z.', '', '-7Z')"
"('MSBuild.', '', '')"
"('MSIEXEC.', '', '')"
"('Metadata.', '', '')"
"('MethodDeclarationParserAction.', '', '')"
"('MethodParserAction.', '', '')"
"('MethodPropertiesParserAction.', '', '')"
"('Microsoft.', '', '')"
"('ModelManifest.', '', '')"
"('Mono.', '', '')"
"('Msi.', '', '')"
"('MsiServerControl.', '', '')"
"('Net.', '', '')"
"('Node.', '', '')"
"('NormalParserAction.', '', '')"
"('NotificationContext.', '', '')"
"('NuGet.', '', '')"
"('Null.', '', '')"
"('Object.', '', '')"
"('Parent.', '', '')"
"('ParserStateAction.', '', '')"
"('ParserStateActionAttribute.', '', '')"
"('ParserStateValues.', '', '')"
"('Parsing.', '', '')"
"('Permissions.', '', '')"
"('Properties.', '', '')"
"('RAxjj.', '', '')"
"('RGiesecke.', '', '')"
"('Reflection.', '', '')"
"('Regexes.', '', '')"
"('Resources.', '', '')"
"('Runtime.', '', '')"
"('SNKeyPair.', '', '')"
"('ScaffoldingReadMe.', '', '')"
"('Security.', '', '')"
"('Set.', '', '')"
"('SettingsDesigner.', '', '')"
"('SourceCodePosition.', '', '')"
"('SourceCodeRange.', '', '')"
"('StoreAssociation.', '', '')"
"('StyleCopReport.', '', '')"
"('System.', '', '')"
"('TestResult.', '', '')"
"('Text.', '', '')"
"('Tools.', '', '')"
"('U.', '', '')"
"('UMono.', '', '')"
"('USystem.', '', '')"
"('UnmanagedExports.', '', '')"
"('UnmanagedType.', '', '')"
"('Utilities.', '', '')"
"('Utils.', '', '')"
"('V.', '', '')"
"('VC.', '', '')"
"('ValueDisposable.', '', '')"
"('VisualState.', '', '')"
"('VisualStudio.', '', '')"
"('W.', '', '')"
"('Windows.', '', '')"
"('X.', '', '')"
"('Xml.', '', '')"
"('Xvm.', '', '')"
"('ackup.', '', '')"
"('add.', '', '')"
"('address.', '', '')"
"('assemblybinaryproperties.', '', '')"
"('assemblyexports.', '', '')"
"('assemblyloadingredirection.', '', '')"
"('bge.', '', '')"
"('bgt.', '', '')"
"('bim.', '', '')"
"('ble.', '', '')"
"('blt.', '', '')"
"('bne.', '', '')"
"('btm.', '', '')"
"('btp.', '', '')"
"('build.', '', '')"
"('camgr.', '', '')"
"('cgt.', '', '')"
"('classdeclarationparseraction.', '', '')"
"('classparseraction.', '', '')"
"('clt.', '', '')"
"('codegen.', '', '')"
"('content.', '', '')"
"('conv.', '', '')"
"('coserverinfo.', '', '')"
"('currentProject.', '', '')"
"('dbproj.', '', '')"
"('deepinstinct.', '', '')"
"('deleteexportattributeparseraction.', '', '')"
"('designer.', '', '')"
"('digicert.', '', '')"
"('div.', '', '')"
"('dllExportDir.', '', '')"
"('dllexport.', '', '')"
"('dllexportappdomainisolatedtask.', '', '')"
"('dllexportloggincodes.', '', '')"
"('dllexportnotifier.', '', '')"
"('dllexportnotifierwrapper.', '', '')"
"('dllexportserviceproviderextensions.', '', '')"
"('dllexporttask.', '', '')"
"('dllexportweaver.', '', '')"
"('dto.', '', '')"
"('duplicateexports.', '', '')"
"('exportassemblyinspector.', '', '')"
"('exportedclass.', '', '')"
"('exportedmethod.', '', '')"
"('exportinfo.', '', '')"
"('exporttaskimplementation.', '', '')"
"('extensions.', '', '')"
"('externalassemlydeclaration.', '', '')"
"('genericdisposable.', '', '')"
"('github.', '', '')"
"('h.', '', '')"
"('hasserviceprovider.', '', '')"
"('i.', '', '')"
"('i1.', '', '')"
"('i2.', '', '')"
"('i4.', '', '')"
"('i8.', '', '')"
"('iXq.', '', '')"
"('ilasm.', '', '')"
"('ildasm.', '', '')"
"('ilparser.', '', '')"
"('ilparsingutils.', '', '')"
"('iltoolbase.', '', '')"
"('import.', '', '')"
"('inputvaluescore.', '', '')"
"('jZK.', '', '')"
"('k.', '', '')"
"('kernel32.', '', '')"
"('l.', '', '')"
"('lM.', '', '')"
"('launch.', '', '')"
"('ldelem.', '', '')"
"('ldind.', '', '')"
"('lht.', '', '')"
"('lib.', '', '')"
"('local.', '', '')"
"('lock.', '', '')"
"('mI.', '', '')"
"('main.', '', '')"
"('messageToVictim.', '', '')"
"('methoddeclarationparseraction.', '', '')"
"('methodparseraction.', '', '')"
"('methodpropertiesparseraction.', '', '')"
"('microsoft.', '', '')"
"('msBuildV4.', '', '')"
"('mscoree.', '', '')"
"('msi.', '', '')"
"('mul.', '', '')"
"('mw.', '', '')"
"('normalparseraction.', '', '')"
"('notificationcontext.', '', '')"
"('nuget.', '', '')"
"('null.', '', '')"
"('ocsp.', '', '')"
"('odx.', '', '')"
"('openxmlformats-package.', '', '-package')"
"('openxmlformats.', '', '')"
"('ovf.', '', '')"
"('packages.', '', '')"
"('paket.', '', '')"
"('parserstateaction.', '', '')"
"('parserstateactionattribute.', '', '')"
"('parserstatevalues.', '', '')"
"('payload.', '', '')"
"('principleName.', '', '')"
"('proj.', '', '')"
"('project.', '', '')"
"('projectUri.', '', '')"
"('purl.', '', '')"
"('qi.', '', '')"
"('r.', '', '')"
"('r0.', '', '')"
"('rdl.', '', '')"
"('rem.', '', '')"
"('repositories.', '', '')"
"('rgiesecke.', '', '')"
"('rptproj.', '', '')"
"('s.', '', '')"
"('sal.', '', '')"
"('set.', '', '')"
"('settings.', '', '')"
"('shr.', '', '')"
"('sigcheck.', '', '')"
"('sln.', '', '')"
"('sn.', '', '')"
"('sni.', '', '')"
"('sourcecodeposition.', '', '')"
"('sourcecoderange.', '', '')"
"('stelem.', '', '')"
"('stind.', '', '')"
"('sub.', '', '')"
"('symantec.', '', '-aia')"
"('symantec.', '', '-crl')"
"('symcb.', '', '')"
"('tasks.', '', '')"
"('title.', '', '')"
"('u.', '', '')"
"('u1.', '', '')"
"('u2.', '', '')"
"('u4.', '', '')"
"('u8.', '', '')"
"('ublish.', '', '')"
"('unbox.', '', '')"
"('user.', '', '')"
"('utilities.', '', '')"
"('valuedisposable.', '', '')"
"('vbUV.', '', '')"
"('verisign.', '', '')"
"('w.', '', '')"
"('w3.', '', '')"
"('wWKV.', '', '')"
"('ws.', '', '-ocsp')"
"('wtsapi32.', '', '')"
"('www.', '', '')"
"('x.', '', '')"
"('x51.', '', '')"
"('x64.', '', '')"
"('x86.', '', '')"
"('xsd.', '', '')"
