"('', '', '', '', '', '', ' DllExportAttributeAssemblyName\n\t$currentProject', '', 'DllExportAttributeAssemblyName', 'currentProject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' load $msBuildV4Name', '', 'load', 'msBuildV4Name', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' locally\n\n$project', '', 'locally', 'project', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' project \n\t$currentProject', '', 'project', 'currentProject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param($installPath, $toolsPath, $package, $project)', '$installPath, $toolsPath, $package, $project', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param($project)', '$project', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Absolute\n\n$msBuildV4Name', '', 'Absolute', 'msBuildV4Name', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Absolute\n\t$relativeUrl', '', 'Absolute', 'relativeUrl', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ArgumentList $currentProject', '', 'ArgumentList', 'currentProject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ArgumentList $targetFileName', '', 'ArgumentList', 'targetFileName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'DllExportMsBuildProjectsByFullName $_', '', 'DllExportMsBuildProjectsByFullName', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'DllExportMsBuildProjectsByFullName $fullName', '', 'DllExportMsBuildProjectsByFullName', 'fullName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'OldDllExportFolder $_', '', 'OldDllExportFolder', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'OldDllExportFolder $project', '', 'OldDllExportFolder', 'project', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $toolsPath', '', 'Path', 'toolsPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PlatformTargetOfProject $_', '', 'PlatformTargetOfProject', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PlatformTargetOfProject $project', '', 'PlatformTargetOfProject', 'project', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[String] $fullName', '', 'String', 'fullName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[String] $projectName', '', 'String', 'projectName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n    \n    [String] $asString', '', 'String', 'asString', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\n\treturn $projectCollection', '', 'return', 'projectCollection', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\nreturn $projects', '', 'return', 'projects', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_\n\n\t$currentProject', '', '_', 'currentProject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $platformTarget', '', 'and', 'platformTarget', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'contains $_', '', 'contains', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ieq $projectName', '', 'ieq', 'projectName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ine $asString', '', 'ine', 'asString', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'not $defaultFiles', '', 'not', 'defaultFiles', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'not $unknownFiles', '', 'not', 'unknownFiles', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'or $_', '', 'or', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'project.Name\n\t\t\t\t$project', '', 'project.Name', 'project', '', '', '', '', '', '', '', '')"
