"('http://', 'ht', '', '', '', '')"
"('http://', 'ht', '', '/dc/elements/1.1', '/', 'dc/elements/1.1')"
"('http://', 'ht', '', '/dc/terms', '/', 'dc/terms')"
"('http://', 'ht', '', '/developer/msbuild/2003', '/', 'developer/msbuild/2003')"
"('http://', 'ht', '', '/package/2006/content-types', '/', 'package/2006/content-types')"
"('http://', 'ht', '', '/package/2006/metadata/core-properties', '/', 'package/2006/metadata/core-properties')"
"('http://', 'ht', '', '/package/2006/relationships', '/', 'package/2006/relationships')"
"('http://', 'ht', '', '/package/2006/relationships/metadata/core-properties', '/', 'package/2006/relationships/metadata/core-properties')"
"('http://', 'ht', '', '/packaging/2010/07/manifest', '/', 'packaging/2010/07/manifest')"
"('http://', 'ht', '', '/sha2-assured-cs-g1.crl0531/http://crl4.digicert.com/sha2-assured-cs-g1.crl0L', '/', 'sha2-assured-cs-g1.crl0531/http://crl4.digicert.com/sha2-assured-cs-g1.crl0L')"
"('http://', 'ht', '', '/sha256-tss-ca.cer0', '/', 'sha256-tss-ca.cer0')"
"('http://', 'ht', '', '/sha256-tss-ca.crl0', '/', 'sha256-tss-ca.crl0')"
"('http://', 'ht', '', '/universal-root.crl0', '/', 'universal-root.crl0')"
"('http://', 'ht', '', '/vslogo.gif0', '/', 'vslogo.gif0')"
"('https://', 'ht', 's', '/cps0', '/', 'cps0')"
"('https://', 'ht', 's', '/eliran_nissan', '/', 'eliran_nissan')"
"('https://', 'ht', 's', '/en-us/dotnet/framework/tools/sn-exe-strong-name-tool', '/', 'en-us/dotnet/framework/tools/sn-exe-strong-name-tool')"
"('https://', 'ht', 's', '/en-us/dotnet/standard/assembly/strong-named', '/', 'en-us/dotnet/standard/assembly/strong-named')"
"('https://', 'ht', 's', '/en-us/topic/kb5004442-manage-changes-for-windows-dcom-server-security-feature-bypass-cve-2021-26414-f1400b52-c141-43d2-941e-37ed901c769c', '/', 'en-us/topic/kb5004442-manage-changes-for-windows-dcom-server-security-feature-bypass-cve-2021-26414-f1400b52-c141-43d2-941e-37ed901c769c')"
"('https://', 'ht', 's', '/en-us/windows/win32/wmisdk/setting-authentication-using-c', '/', 'en-us/windows/win32/wmisdk/setting-authentication-using-c')"
"('https://', 'ht', 's', '/github/gitignore/blob/main/VisualStudio.gitignore', '/', 'github/gitignore/blob/main/VisualStudio.gitignore')"
"('https://', 'ht', 's', '/github/gitignore/pull/1529#issuecomment-104372622', '/', 'github/gitignore/pull/1529#issuecomment-104372622')"
"('https://', 'ht', 's', '/github/gitignore/pull/2483#issue-259490424', '/', 'github/gitignore/pull/2483#issue-259490424')"
"('https://', 'ht', 's', '/rpa0', '/', 'rpa0')"
"('https://', 'ht', 's', '/v3/index.json0', '/', 'v3/index.json0')"
"('www.', '', '', '', '', '')"
"('www.', 'ht', '', '/2001/XMLSchema-instance', '/', '2001/XMLSchema-instance')"
"('www.', 'ht', 's', '/CPS0', '/', 'CPS0')"
"('www.', 'ht', 's', '/blog/forget-psexec-dcom-upload-execute-backdoor', '/', 'blog/forget-psexec-dcom-upload-execute-backdoor')"
