"('Actions.', '', '')"
"('Activator.', '', '')"
"('ActiveView.', '', '')"
"('Advapi32.', '', '')"
"('Application.', '', '')"
"('AssemblyInfo.', '', '')"
"('AutoTest.', '', '')"
"('BenchmarkDotNet.', '', '')"
"('BindingFlags.', '', '')"
"('CPU.', '', '')"
"('CSharp.', '', '')"
"('CharSet.', '', '')"
"('Collections.', '', '')"
"('Common.', '', '')"
"('Console.', '', '')"
"('Document.', '', '')"
"('DotSettings.', '', '')"
"('Environment.', '', '')"
"('Error.', '', '')"
"('Excel.', '', '')"
"('Generic.', '', '')"
"('GhostDoc.', '', '')"
"('Int32.', '', '')"
"('IntPtr.', '', '')"
"('Item.', '', '')"
"('MMC20.', '', '')"
"('Management.', '', '')"
"('Math.', '', '')"
"('Method.', '', '')"
"('Microsoft.', '', '')"
"('ModelManifest.', '', '')"
"('Name.', '', '')"
"('Node.', '', '')"
"('Path.', '', '')"
"('Principal.', '', '')"
"('Program.', '', '')"
"('RegistrationInfo.', '', '')"
"('RemoteComObject.', '', '')"
"('Runtime.', '', '')"
"('ServiceControllerStatus.', '', '')"
"('Settings.', '', '')"
"('SharpMove.', '', '')"
"('Status.', '', '')"
"('StoreAssociation.', '', '')"
"('String.', '', '')"
"('StyleCopReport.', '', '')"
"('System.', '', '')"
"('TaskScheduler.', '', '')"
"('TestResult.', '', '')"
"('Thread.', '', '')"
"('Type.', '', '')"
"('VC.', '', '')"
"('Value.', '', '')"
"('VisualState.', '', '')"
"('VisualStudio.', '', '')"
"('ackup.', '', '')"
"('action.', '', '')"
"('actionCollection.', '', '')"
"('acts.', '', '')"
"('advapi32.', '', '')"
"('args.', '', '')"
"('argument.', '', '')"
"('arguments.', '', '')"
"('bim.', '', '')"
"('btm.', '', '')"
"('btp.', '', '')"
"('build.', '', '')"
"('cmdarg.', '', '')"
"('cmdinfo.', '', '')"
"('cmdpath.', '', '')"
"('codegen.', '', '')"
"('command.', '', '')"
"('containingFolder.', '', '')"
"('dbproj.', '', '')"
"('e.', '', '')"
"('ex.', '', '')"
"('f1.', '', '')"
"('file.', '', '')"
"('folder.', '', '')"
"('fsf.', '', '')"
"('github.', '', '')"
"('gnu.', '', '')"
"('host.', '', '')"
"('inParams.', '', '')"
"('local.', '', '')"
"('lock.', '', '')"
"('microsoft.', '', '')"
"('myBinder.', '', '')"
"('myEventConsumer.', '', '')"
"('myEventFilter.', '', '')"
"('myEventQuery.', '', '')"
"('myTimer.', '', '')"
"('newact.', '', '')"
"('nuget.', '', '')"
"('objScheduler.', '', '')"
"('odx.', '', '')"
"('options.', '', '')"
"('origact.', '', '')"
"('originalstate.', '', '')"
"('otask.', '', '')"
"('outParams.', '', '')"
"('outParams2.', '', '')"
"('packages.', '', '')"
"('paket.', '', '')"
"('payload.', '', '')"
"('project.', '', '')"
"('prop.', '', '')"
"('propValue.', '', '')"
"('rdl.', '', '')"
"('reg.', '', '')"
"('reg1.', '', '')"
"('regTask.', '', '')"
"('regTask1.', '', '')"
"('repositories.', '', '')"
"('result.', '', '')"
"('rptproj.', '', '')"
"('scheduler.', '', '')"
"('scope.', '', '')"
"('searcher.', '', '')"
"('settings.', '', '')"
"('sln.', '', '')"
"('string.', '', '')"
"('targetservice.', '', '')"
"('text.', '', '')"
"('timerClass.', '', '')"
"('tsk.', '', '')"
"('ublish.', '', '')"
"('username.', '', '')"
"('why-not-lgpl.', '', '-lgpl')"
"('wmiData.', '', '')"
"('wmiEventFilter.', '', '')"
"('wmiProcess.', '', '')"
"('wmiservice.', '', '')"
"('xsd.', '', '')"
