"//
"// COM, set the ComVisible attribute to true on that type."
"// [assembly: AssemblyVersion(""1.0.*"")]"
"// finally, cleanup"
//      Build Number
//      Major Version"
//      Minor Version
//      Revision
// General Information about an assembly is controlled through the following
// Key did exist
// Setting ComVisible to false makes the types in this assembly not visible
// The following GUID is for the ID of the typelib if this project is exposed to COM
// Version information for an assembly consists of the following four values:
// You can specify all the values or you can default the Build and Revision Numbers"
// associated with an assembly.
// by using the '*' as shown below:
// finally bind them together with a __FilterToConsumerBinding
// first create a 5 second timer on the remote host
// local query
// now create the ActiveScriptEventConsumer data (VBS)
// remote process call creation
// remote query
// set of attributes. Change these attribute values to modify the information
// then install the __EventFilter for the timer object
// to COM components.  If you need to access a type in this assembly from
// wait for everything to trigger
// wrap long output to 80 lines
