"('http://', 'ht', '', '', '', '')"
"('http://', 'ht', '', '/Arno0x0x', '/', 'Arno0x0x')"
"('https://', 'ht', 's', '/Arno0x/f71a9db515ddea686ccdd77666bebbaa', '/', 'Arno0x/f71a9db515ddea686ccdd77666bebbaa')"
"('https://', 'ht', 's', '/Arno0x0x', '/', 'Arno0x0x')"
"('https://', 'ht', 's', '/EmpireProject/Empire/blob/73358262acc8ed3c34ffc87fa593655295b81434/data/agent/stagers/dropbox.py', '/', 'EmpireProject/Empire/blob/73358262acc8ed3c34ffc87fa593655295b81434/data/agent/stagers/dropbox.py')"
"('https://', 'ht', 's', '/borismus/1032746', '/', 'borismus/1032746')"
"('https://', 'ht', 's', '/farhadi/2185197', '/', 'farhadi/2185197')"
"('https://', 'ht', 's', '/mholt/PapaParse/issues/175#issuecomment-75597039', '/', 'mholt/PapaParse/issues/175#issuecomment-75597039')"
"('https://', 'ht', 's', '/nccgroup/demiguise', '/', 'nccgroup/demiguise')"
"('https://', 'ht', 's', '/s/d53j2yev8itwu4e/deliverXLLviaHTML.jpg?dl=0', '/', 's/d53j2yev8itwu4e/deliverXLLviaHTML.jpg?dl=0')"
"('www.', 'ht', '', '/copyleft/gpl.html', '/', 'copyleft/gpl.html')"
"('www.', 'ht', '', '/licenses', '/', 'licenses')"
"('www.', 'ht', '', '/philosophy/why-not-lgpl.html', '/', 'philosophy/why-not-lgpl.html')"
