"('KERNEL32.', '', '')"
"('SimpleHTTPServer.', '', '')"
"('SocketServer.', '', '')"
"('String.', '', '')"
"('URL.', '', '')"
"('USER32.', '', '')"
"('WScript.', '', '')"
"('a.', '', '')"
"('argparse.', '', '')"
"('args.', '', '')"
"('attr.', '', '')"
"('body.', '', '')"
"('bytes.', '', '')"
"('calc.', '', '')"
"('color.', '', '')"
"('crypto.', '', '')"
"('data.', '', '')"
"('dataTransfer.', '', '')"
"('decryptFile.', '', '')"
"('deliverXLLviaHTML.', '', '')"
"('document.', '', '')"
"('download.', '', '')"
"('dropZone.', '', '')"
"('dropbox.', '', '')"
"('dropboxusercontent.', '', '')"
"('e.', '', '')"
"('embedInHTML.', '', '')"
"('f.', '', '')"
"('file.', '', '')"
"('fileHandle.', '', '')"
"('fileName.', '', '')"
"('fsf.', '', '')"
"('github.', '', '')"
"('gnu.', '', '')"
"('gpl.', '', '')"
"('hash.', '', '')"
"('hex.', '', '')"
"('html.', '', '')"
"('index.', '', '')"
"('map.', '', '')"
"('navigator.', '', '')"
"('o.', '', '')"
"('os.', '', '')"
"('out.', '', '')"
"('outputFileNameObj.', '', '')"
"('path.', '', '')"
"('r.', '', '')"
"('random.', '', '')"
"('rc4Encryptor.', '', '')"
"('reader.', '', '')"
"('result.', '', '')"
"('self.', '', '')"
"('server.', '', '')"
"('sharepoint.', '', '')"
"('src.', '', '')"
"('string.', '', '')"
"('subtle.', '', '')"
"('target.', '', '')"
"('twitter.', '', '')"
"('vP6vT.', '', '')"
"('view.', '', '')"
"('vnd.', '', '')"
"('why-not-lgpl.', '', '-lgpl')"
"('window.', '', '')"
"('x.', '', '')"
