"('', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '0', '', '0', '', '', '', '')"
"('', '', '', '', '', '0000', '', '0000', '', '', '', '')"
"('', '', '', '', '', '040', '', '040', '', '', '', '')"
"('', '', '', '', '', '0E0', '', '0E0', '', '', '', '')"
"('', '', '', '', '', '1', '', '1', '', '', '', '')"
"('', '', '', '', '', '11E5', '', '11E5', '', '', '', '')"
"('', '', '', '', '', '4', '', '4', '', '', '', '')"
"('', '', '', '', '', '5555', '', '5555', '', '', '', '')"
"('', '', '', '', '', '67', '', '67', '', '', '', '')"
"('', '', '', '', '', '7', '', '7', '', '', '', '')"
"('', '', '', '', '', '8', '', '8', '', '', '', '')"
"('', '', '', '', '', '8888', '', '8888', '', '', '', '')"
"('', '', '', '', '', '89', '', '89', '', '', '', '')"
"('', '', '', '', '', '9999', '', '9999', '', '', '', '')"
"('', '', '', '', '', 'd', '', 'd', '', '', '', '')"
"('7:', '', '', '', '', '', '', '', '', '', '', '')"
"('::', '::', '', '', '', '', '', '', '', '', '', '')"
