        // In the cases when releaseCapture comes first, the code above is"
        // In the cases when the mouseup comes first, we need wait for the"
        // The spec is unclear on this ""initial cursor"" issue. Many other"
"//	if found in the HTML source of a page of the victim, it is assumed there is a successful login"
"//
"//        explicit ""cursor: none;""?"
"//        isn't allowed this early, but I'm not sure that can"
"//        key to ""AltGraph""."
"// && $s[""state""] < 3"
"// (i.e. are we over the target, or a child of the target without a"
"// 0: idle, 1: clicked, 2: submitted, 3: authorized"
"// 0: not blocked, 1: blocked"
"// Add a call to save settings when the element changes,"
"// All prepared, kick off the connection"
"// Alt behaves more like AltGraph on macOS, so shuffle the"
"// At this point, we know that the cursor is fully transparent, and"
"// Can't use ""display"" because of Firefox bug #1445997"
"// FIXME: _socketOpen() can in theory call _fail(), which"
"// FIXME: if we're in view-only and not dragging,"
"// If 'for' isn't set, use the first input element child"
"// If no time was specified, show the status for 1.5 seconds"
"// In TightVNC mode, ServerInit message is extended"
"// Is this key already pressed? If so, then we must use the"
"// Mouse events might be emulated, this allows"
"// Scaling trumps clipping, so we may need to adjust"
"// Send the button down event here, as the button up"
"// Server sends supported list, client decides"
"// Set the new value, update and disable form control setting"
"// Siemens touch panels have a VNC server that supports NOTUNNEL,"
"// Since the control bar is fixed on the viewport and not the page,"
"// So, if a capture is active - look at the captured element instead."
"// Temporarily disable animation, if bar is displayed, to avoid weird"
"// The dot should not be shown if the cursor is already visible,"
"// The exception is when a virtual keyboard is used, because"
"// Therefor, if we get a lot of small mouse wheel events we combine them."
"// This event could be because we're entering the target, or"
"// This variable is ideally set when disconnection starts, but"
"// Too soon since the latest move, wait the remaining time"
"// Unstable, but we don't have anything else to go on"
"// Update cookie and form control setting. If value is not set, then"
"// Update state of clipping in Display object, and make sure the"
"// User does not want to see the dot, so..."
"// VeNCrypt authentication, currently only supports version 0.2 and only Plain subtype"
"// View only, skip mouse events"
"// We can't get a release in the middle of an AltGr sequence, so"
"// We cannot handle keys we cannot track, but we also need"
"// We don't send unsolicited clipboard, so we"
"// We use setTimeout() so it's run in its own context, just like"
"// When clipping is enabled, the screen is limited to"
"// When normal keyboard events are left uncought, use the input events from"
"// Windows doesn't have a proper AltGr, but handles it using"
"// before this point, since this can throw an exception"
"// browser smaller, despite remote resize being enabled. So to fix it"
"// but our position is relative the _layout viewport_,"
"// check every x milliseconds, for dynamic sites"
"// check if state already set and blocked, assuming admin access"
"// check if user id already exists, then skip"
"// clean up, set focus to canvas"
"// clientX/clientY are relative the _visual viewport_,"
"// create array, generate request id per user (user id is the mail address)"
"// echo statt cat, nur resolution.txt"
"// fake Ctrl+Alt. However the remote end might not be Windows,"
"// first pass, do the tunnel negotiation"
"// hit the same spot, so slightly adjust coordinates"
"// if a victim is connected, try to find its user id via the most recent entry in accesslog"
"// if no state found, create one"
"// if reconnect has been disabled in the meantime, do nothing."
"// is not layout independent, so it is as bad as using keyCode"
"// macOS doesn't send proper key events for modifiers, only"
"// must fall through here (i.e. no ""else if""), beacause we may have already received"
"// novnc stopped, but admin backend running -> blink!"
"// read state if any, append new entries"
"// reason, e.g. waiting for a password from the user"
"// removing quotation marks, do not even try to escape!"
"// reset chrome extension variables (reqid+sid), better be safe..."
"// retrieve client identifier, store and add to chromium extension code"
"// retrieve user agent, store it"
"// second pass, do the sub-auth negotiation"
"// successfully logged in -> close connection, block user and write state"
"// tbd, one needs to differentiate unauth vs auth..."
"// test with google-chrome --load-extension=""."" --no-first-run --auto-open-devtools-for-tabs <URL>"
"// the server, we need to do it here as well since"
"// to use in our case, so we always use our own panning"
"// viewers (TigerVNC, RealVNC, Remmina) display an arrow as the"
"// we don't actually do anything with the capability information that TIGHT sends,"
"// we're past the point where we could backtrack, so it's safe to call this"
