"('http://', 'ht', '', '', '', '')"
"('http://', 'ht', '', ':8080', '', ':8080')"
"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '/2.6/management.html#9.3-show%20servers%20state', '/', '2.6/management.html#9.3-show%20servers%20state')"
"('https://', 'ht', 's', '/2014/05/decrypt-chrome-cookies-with-python', '/', '2014/05/decrypt-chrome-cookies-with-python')"
"('https://', 'ht', 's', '/JoelGMSec', '/', 'JoelGMSec')"
"('https://', 'ht', 's', '/JoelGMSec/EvilnoVNC', '/', 'JoelGMSec/EvilnoVNC')"
"('https://', 'ht', 's', '/JoelGMSec/EvilnoVNC/blob/main/EvilnoVNC.png', '/', 'JoelGMSec/EvilnoVNC/blob/main/EvilnoVNC.png')"
"('https://', 'ht', 's', '/buttons/v2/default-blue.png', '/', 'buttons/v2/default-blue.png')"
"('https://', 'ht', 's', '/bypass-2fa-using-novnc', '/', 'bypass-2fa-using-novnc')"
"('https://', 'ht', 's', '/docs/extensions/reference/cookies/#method-getAll', '/', 'docs/extensions/reference/cookies/#method-getAll')"
"('https://', 'ht', 's', '/en/ascii-art-generator?hl=default&vl=default&font=DOS%20Rebel&text=MultiEvilnoVNC', '/', 'en/ascii-art-generator?hl=default&vl=default&font=DOS%20Rebel&text=MultiEvilnoVNC')"
"('https://', 'ht', 's', '/fkasler/cuddlephish', '/', 'fkasler/cuddlephish')"
"('https://', 'ht', 's', '/login', '/', 'login')"
"('https://', 'ht', 's', '/mrd0x', '/', 'mrd0x')"
"('https://', 'ht', 's', '/nandydark/Linux-keylogger', '/', 'nandydark/Linux-keylogger')"
"('https://', 'ht', 's', '/novnc/noVNC.git', '/', 'novnc/noVNC.git')"
"('https://', 'ht', 's', '/novnc/websockify', '/', 'novnc/websockify')"
"('https://', 'ht', 's', '/powerseb/NoPhish', '/', 'powerseb/NoPhish')"
"('https://', 'ht', 's', '/robando-sesiones-y-bypasseando-2fa-con-evilnovnc', '/', 'robando-sesiones-y-bypasseando-2fa-con-evilnovnc')"
"('https://', 'ht', 's', '/wanetty/MultiEvilnoVNC', '/', 'wanetty/MultiEvilnoVNC')"
"('https://', 'ht', 's', '/wiki/Docker', '/', 'wiki/Docker')"
"('www.', 'ht', 's', '/?utm_source=challenge&amp', '/', '?utm_source=challenge&amp')"
"('www.', 'ht', 's', '/TR/cors', '/', 'TR/cors')"
"('www.', 'ht', 's', '/article/extract-chrome-cookies-python', '/', 'article/extract-chrome-cookies-python')"
"('www.', 'ht', 's', '/joelgmsec', '/', 'joelgmsec')"
"('www.', 'ht', 's', '/licenses', '/', 'licenses')"
"('www.', 'ht', 's', '/licenses/why-not-lgpl.html', '/', 'licenses/why-not-lgpl.html')"
