"('Debug(""<< Keyboard.allKeysUp"")', 'Debug')"
"('Debug(""<< Keyboard.grab"")', 'Debug')"
"('Debug(""<< RFB.connect"")', 'Debug')"
"('Debug(""<< RFB.constructor"")', 'Debug')"
"('Debug(""<< RFB.disconnect"")', 'Debug')"
"('Debug(""<< UI.clipboardReceive"")', 'Debug')"
"('Debug(""<< UI.clipboardSend"")', 'Debug')"
"('Debug("">> Keyboard.allKeysUp"")', 'Debug')"
"('Debug("">> Keyboard.grab"")', 'Debug')"
"('Debug("">> Keyboard.ungrab"")', 'Debug')"
"('Debug("">> RFB.connect"")', 'Debug')"
"('Debug("">> RFB.constructor"")', 'Debug')"
"('Debug("">> RFB.disconnect"")', 'Debug')"
"('Debug("">> UI.clipboardReceive: "" + e.detail.text.substr(0, 40) + ""..."")', 'Debug')"
"('Debug("">> UI.clipboardSend: "" + text.substr(0, 40) + ""..."")', 'Debug')"
"('Debug(""Already in state \'"" + state + ""\', ignoring"")', 'Debug')"
"('Debug(""Bell"")', 'Debug')"
"('Debug(""Clearing disconnect timer"")', 'Debug')"
"('Debug(""Detected Siemens server. Assuming NOTUNNEL support."")', 'Debug')"
"('Debug(""New state \'"" + state + ""\', was \'"" + oldstate + ""\'."")', 'Debug')"
"('Debug(""Selected authentication type: "" + authType)', 'Debug')"
"('Debug(""Selected tunnel type: "" + clientSupportedTunnelTypes[0])', 'Debug')"
"('Debug(""Server Tight authentication types: "" + serverSupportedTypes)', 'Debug')"
"('Debug(""Server Tight tunnel types: "" + serverSupportedTunnelTypes)', 'Debug')"
"('Debug(""Server security types: "" + types)', 'Debug')"
"('Debug(""ServerCutText"")', 'Debug')"
"('Debug(""SetColorMapEntries"")', 'Debug')"
"('Debug(""Setting saved \'"" + name + ""="" + val + ""\'"")', 'Debug')"
"('Debug(""Starting VNC handshake"")', 'Debug')"
"('Debug(""WebSocket on-close event"")', 'Debug')"
"('Debug(""sock.rQpeekBytes(30): "" + this._sock.rQpeekBytes(30))', 'Debug')"
"('Error("""" + response.status + "" "" + response.statusText)', 'Error')"
"('Error(""Can\'t connect when host is: "" + host)', 'Error')"
"('Error(""Cannot use already closed WebSocket/RTCDataChannel"")', 'Error')"
"('Error(""Couldn\'t fetch package.json: "" + err)', 'Error')"
"('Error(""Disconnection timed out."")', 'Error')"
"('Error(""Display exception: "" + exc)', 'Error')"
"('Error(""Failed when connecting: "" + details)', 'Error')"
"('Error(""Failed when disconnecting: "" + details)', 'Error')"
"('Error(""Failed while connected: "" + details)', 'Error')"
"('Error(""Got data while disconnected"")', 'Error')"
"('Error(""Got data while in an invalid state"")', 'Error')"
"('Error(""Invalid visual state: "" + state)', 'Error')"
"('Error(""Must specify URL, WebSocket or RTCDataChannel"")', 'Error')"
"('Error(""Must specify target"")', 'Error')"
"('Error(""RFB failure: "" + details)', 'Error')"
"('Error(""Tried changing state of a disconnected RFB object"")', 'Error')"
"('Error(""Unable to play bell: "" + e)', 'Error')"
"('Error(""Unknown connection state: "" + state)', 'Error')"
"('Error(""Unsupported extended clipboard format for Provide message."")', 'Error')"
"('Error(""XVP Operation Failed"")', 'Error')"
"('Error(""compressionLevel must be an integer between 0 and 9"")', 'Error')"
"('Error(""noVNC requires a secure context (TLS). Expect crashes!"")', 'Error')"
"('Error(""qualityLevel must be an integer between 0 and 9"")', 'Error')"
"('Info(""Enabling continuous updates."")', 'Info')"
"('Info(""Sending Ctrl-Alt-Del"")', 'Info')"
"('Info(""Sending XVP operation "" + op + "" (version "" + ver + "")"")', 'Info')"
"('Info(""Sending key ("" + (down ? ""down"" : ""up"") + ""): keysym "" + keysym + "", scancode "" + scancode)', 'Info')"
"('Info(""Sending keysym ("" + (down ? ""down"" : ""up"") + ""): "" + keysym)', 'Info')"
"('Info(""Server ProtocolVersion: "" + sversion)', 'Info')"
"('Info(""XVP extensions enabled (version "" + this._rfbXvpVer + "")"")', 'Info')"
