"('CRYPTBASE.', '', '')"
"('DiskSnapShot.', '', '')"
"('FullDllName.', '', '')"
"('HWSyscalls.', '', '')"
"('InMemoryOrderModuleList.', '', '')"
"('KERNEL32.', '', '')"
"('WMI-ProcessCreate.', '', '-ProcessCreate')"
"('cmd.', '', '')"
"('compmgmtlauncher.', '', '')"
"('comsuppw.', '', '')"
"('credui.', '', '')"
"('cryptbase.', '', '')"
"('ctx.', '', '')"
"('demon.', '', '')"
"('disksnapshot.', '', '')"
"('elastic.', '', '')"
"('encoded.', '', '')"
"('f.', '', '')"
"('file.', '', '')"
"('filehistory.', '', '')"
"('fsf.', '', '')"
"('github.', '', '')"
"('gnu.', '', '')"
"('goat.', '', '')"
"('halosgate.', '', '')"
"('image02.', '', '')"
"('kernel32.', '', '')"
"('kernelbase.', '', '')"
"('load.', '', '')"
"('loader.', '', '')"
"('microsoft.', '', '')"
"('ntdll.', '', '')"
"('oink.', '', '')"
"('ok.', '', '')"
"('optionalHeader.', '', '')"
"('packer.', '', '')"
"('poc.', '', '')"
"('poc3.', '', '')"
"('potential-lateral-tool-transfer-via-smb-share.', '', '-share')"
"('quickassist.', '', '')"
"('random.', '', '')"
"('remote-execution-via-file-shares.', '', '-shares')"
"('s.', '', '')"
"('sektor7.', '', '')"
"('self.', '', '')"
"('sideloader.', '', '')"
"('stackoverflow.', '', '')"
"('string.', '', '')"
"('svchost.', '', '')"
"('test.', '', '')"
"('twitter.', '', '')"
"('varCommand.', '', '')"
"('varCurrentDir.', '', '')"
"('varParams.', '', '')"
"('vtDispatch.', '', '')"
"('wbemuuid.', '', '')"
"('why-not-lgpl.', '', '-lgpl')"
"('wikileaks.', '', '')"
"('wmi-incoming-lateral-movement.', '', '-movement')"
"('wmi2.', '', '')"
"('wmiBOF.', '', '')"
"('wmiexec.', '', '')"
"('write.', '', '')"
"('writefile.', '', '')"
"('x64.', '', '')"
"('xordemon.', '', '')"
"('youtu.', '', '')"
