"('', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '2', '', '2', '', '', '', '')"
"('', '', '', '', '', '4', '', '4', '', '', '', '')"
"('', '', '', '', '', '9', '', '9', '', '', '', '')"
"('', '', '', '', '', 'A', '', 'A', '', '', '', '')"
"('', '', '', '', '', 'C', '', 'C', '', '', '', '')"
"('', '', '', '', '', 'E', '', 'E', '', '', '', '')"
"('', '', '', '', '', 'Fa', '', 'Fa', '', '', '', '')"
"('', '', '', '', '', 'a', '', 'a', '', '', '', '')"
"('', '', '', '', '', 'ace', '', 'ace', '', '', '', '')"
"('', '', '', '', '', 'be', '', 'be', '', '', '', '')"
"('', '', '', '', '', 'c', '', 'c', '', '', '', '')"
"('', '', '', '', '', 'ca', '', 'ca', '', '', '', '')"
"('', '', '', '', '', 'ce', '', 'ce', '', '', '', '')"
"('', '', '', '', '', 'd', '', 'd', '', '', '', '')"
"('', '', '', '', '', 'e', '', 'e', '', '', '', '')"
"('', '', '', '', '', 'ea', '', 'ea', '', '', '', '')"
"('', '', '', '', '', 'ec', '', 'ec', '', '', '', '')"
"('', '', '', '', '', 'ed', '', 'ed', '', '', '', '')"
"('', '', '', '', '', 'f', '', 'f', '', '', '', '')"
"('::', '::', '', '', '', '', '', '', '', '', '', '')"
"('::', '::', '', '', '', 'C', '', 'C', '', '', '', '')"
"('d::', '', '', ':', '', 'c', '', 'c', '', '', '', '')"
"('d::', '', '', ':', '', 'e', '', 'e', '', '', '', '')"
