"('ASP.', '', '')"
"('AccessControlType.', '', '')"
"('App.', '', '')"
"('AssemblyInfo.', '', '')"
"('AutoTest.', '', '')"
"('BadDll.', '', '')"
"('BadWindowsService.', '', '')"
"('BenchmarkDotNet.', '', '')"
"('Binary.', '', '')"
"('Build.', '', '')"
"('CPU.', '', '')"
"('CSharp.', '', '')"
"('CallingConvention.', '', '')"
"('CharSet.', '', '')"
"('Common.', '', '')"
"('ComponentModel.', '', '')"
"('Configuration.', '', '')"
"('Console.', '', '')"
"('Cpp.', '', '')"
"('Data.', '', '')"
"('Default.', '', '')"
"('Designer.', '', '')"
"('Directory.', '', '')"
"('DotSettings.', '', '')"
"('Drawing.', '', '')"
"('Environment.', '', '')"
"('EnvironmentVariableTarget.', '', '')"
"('Error.', '', '')"
"('File.', '', '')"
"('FileSystemRights.', '', '')"
"('FodyWeavers.', '', '')"
"('Formatters.', '', '')"
"('GhostDoc.', '', '')"
"('InheritanceFlags.', '', '')"
"('Install.', '', '')"
"('InstallUtil.', '', '')"
"('Installer.', '', '')"
"('Installers.', '', '')"
"('IntPtr.', '', '')"
"('LocalMachine.', '', '')"
"('Marshal.', '', '')"
"('Microsoft.', '', '')"
"('ModelManifest.', '', '')"
"('Net.', '', '')"
"('Node.', '', '')"
"('Process.', '', '')"
"('Program.', '', '')"
"('ProjectInstaller.', '', '')"
"('PropagationFlags.', '', '')"
"('RegistryRights.', '', '')"
"('Resources.', '', '')"
"('Runtime.', '', '')"
"('RuntimeEnvironment.', '', '')"
"('ScaffoldingReadMe.', '', '')"
"('Security.', '', '')"
"('ServiceAccount.', '', '')"
"('ServiceBase.', '', '')"
"('ServiceControllerStatus.', '', '')"
"('ServiceProcess.', '', '')"
"('ServiceStartMode.', '', '')"
"('Soap.', '', '')"
"('StartInfo.', '', '')"
"('StoreAssociation.', '', '')"
"('StyleCopReport.', '', '')"
"('System.', '', '')"
"('TestResult.', '', '')"
"('Thread.', '', '')"
"('VC.', '', '')"
"('VisualState.', '', '')"
"('VisualStudio.', '', '')"
"('WellKnownSidType.', '', '')"
"('Win32.', '', '')"
"('Windows.', '', '')"
"('WindowsBuiltInRole.', '', '')"
"('WindowsIdentity.', '', '')"
"('Xml.', '', '')"
"('ackup.', '', '')"
"('ado.', '', '')"
"('bad.', '', '')"
"('base.', '', '')"
"('bf.', '', '')"
"('bim.', '', '')"
"('btm.', '', '')"
"('btp.', '', '')"
"('build.', '', '')"
"('cmd.', '', '')"
"('codegen.', '', '')"
"('components.', '', '')"
"('data.', '', '')"
"('dbproj.', '', '')"
"('dllmain.', '', '')"
"('ex.', '', '')"
"('extensions.', '', '')"
"('fs.', '', '')"
"('github.', '', '')"
"('launch.', '', '')"
"('local.', '', '')"
"('lock.', '', '')"
"('microsoft.', '', '')"
"('mitre.', '', '')"
"('nuget.', '', '')"
"('object.', '', '-microsoft')"
"('odx.', '', '')"
"('packages.', '', '')"
"('paket.', '', '')"
"('process.', '', '')"
"('project.', '', '')"
"('rdl.', '', '')"
"('reader.', '', '')"
"('repositories.', '', '')"
"('rk.', '', '')"
"('rptproj.', '', '')"
"('rs.', '', '')"
"('sc.', '', '')"
"('security.', '', '')"
"('service.', '', '')"
"('serviceInstaller1.', '', '')"
"('serviceProcessInstaller1.', '', '')"
"('settings.', '', '')"
"('sln.', '', '')"
"('t1.', '', '')"
"('t2.', '', '')"
"('t3.', '', '')"
"('t4.', '', '')"
"('tasks.', '', '')"
"('this.', '', '')"
"('ublish.', '', '')"
"('user.', '', '')"
"('w3.', '', '')"
"('x64.', '', '')"
"('x86.', '', '')"
"('xsd.', '', '')"
