"('http://', 'ht', '', '/developer/msbuild/2003', '/', 'developer/msbuild/2003')"
"('https://', 'ht', 's', '/github/gitignore/blob/main/VisualStudio.gitignore', '/', 'github/gitignore/blob/main/VisualStudio.gitignore')"
"('https://', 'ht', 's', '/github/gitignore/pull/1529#issuecomment-104372622', '/', 'github/gitignore/pull/1529#issuecomment-104372622')"
"('https://', 'ht', 's', '/github/gitignore/pull/2483#issue-259490424', '/', 'github/gitignore/pull/2483#issue-259490424')"
"('https://', 'ht', 's', '/techniques/T1574/001', '/', 'techniques/T1574/001')"
"('https://', 'ht', 's', '/techniques/T1574/007', '/', 'techniques/T1574/007')"
"('https://', 'ht', 's', '/techniques/T1574/008', '/', 'techniques/T1574/008')"
"('https://', 'ht', 's', '/techniques/T1574/009', '/', 'techniques/T1574/009')"
"('https://', 'ht', 's', '/techniques/T1574/010', '/', 'techniques/T1574/010')"
"('https://', 'ht', 's', '/techniques/T1574/011', '/', 'techniques/T1574/011')"
"('www.', 'ht', '', '/2001/XMLSchema', '/', '2001/XMLSchema')"
"('www.', 'ht', '', '/XML/1998/namespace', '/', 'XML/1998/namespace')"
