"('6.', '', '')"
"('Activator.', '', '')"
"('App.', '', '')"
"('Application.', '', '')"
"('AssemblyAttributes.', '', '')"
"('AssemblyInfo.', '', '')"
"('AssemblyReference.', '', '')"
"('CPU.', '', '')"
"('CSharp.', '', '')"
"('Collections.', '', '')"
"('ComInteropWrapper.', '', '')"
"('Common.', '', '')"
"('Console.', '', '')"
"('Core.', '', '')"
"('CoreCompileInputs.', '', '')"
"('DNDesk.', '', '')"
"('Data.', '', '')"
"('DataSetExtensions.', '', '')"
"('DesignTimeResolveAssemblyReferences.', '', '')"
"('DestinationFolder.', '', '')"
"('Error.', '', '')"
"('FOXPROW.', '', '')"
"('File.', '', '')"
"('Generic.', '', '')"
"('Http.', '', '')"
"('ICollection.', '', '')"
"('IEnumerable.', '', '')"
"('IList.', '', '')"
"('KeyedCollection.', '', '')"
"('Linq.', '', '')"
"('Method.', '', '')"
"('Microsoft.', '', '')"
"('MyApplication.', '', '')"
"('NDesk.', '', '')"
"('Net.', '', '')"
"('NuGet.', '', '')"
"('Options.', '', '')"
"('Program.', '', '')"
"('Runtime.', '', '')"
"('SCHDPLUS.', '', '')"
"('SharpExShell.', '', '')"
"('SharpExcelDCom.', '', '')"
"('System.', '', '')"
"('Text.', '', '')"
"('Thread.', '', '')"
"('Type.', '', '')"
"('UNDesk.', '', '')"
"('USystem.', '', '')"
"('Versioning.', '', '')"
"('VisualStudio.', '', '')"
"('WINPROJ.', '', '')"
"('Xml.', '', '')"
"('args.', '', '')"
"('assemblyattributes.', '', '')"
"('assemblyinfo.', '', '')"
"('b509421ca6a848d282a3d6adaf5f424b.', '', '')"
"('calc.', '', '')"
"('csproj.', '', '')"
"('digicert.', '', '')"
"('e.', '', '')"
"('example.', '', '')"
"('exe.', '', '')"
"('fsf.', '', '')"
"('gnu.', '', '')"
"('microsoft.', '', '')"
"('mscoree.', '', '')"
"('mscorlib.', '', '')"
"('nuget.', '', '')"
"('ocsp.', '', '')"
"('openxmlformats-package.', '', '-package')"
"('openxmlformats.', '', '')"
"('opts.', '', '')"
"('packages.', '', '')"
"('program.', '', '')"
"('purl.', '', '')"
"('s.', '', '')"
"('specterops.', '', '')"
"('symantec.', '', '-aia')"
"('symantec.', '', '-crl')"
"('symcb.', '', '')"
"('verisign.', '', '')"
"('w3.', '', '')"
"('why-not-lgpl.', '', '-lgpl')"
"('ws.', '', '-ocsp')"
"('www.', '', '')"
"('x64.', '', '')"
